         Reward           Loss         Length
       -500.000          0.031            500
       -500.000          0.001            500
       -500.000          0.001            500
       -500.000          0.001            500
       -500.000          0.001            500
       -500.000          0.001            500
       -500.000          0.004            500
       -500.000          0.005            500
       -500.000          0.005            500
       -499.000          0.006            500
       -298.000          0.012            299
       -458.000          0.018            459
       -500.000          0.024            500
       -500.000          0.023            500
       -234.000          0.022            235
       -379.000          0.025            380
       -197.000          0.035            198
       -500.000          0.035            500
       -396.000          0.037            397
       -298.000          0.047            299
       -263.000          0.037            264
       -448.000          0.048            449
       -196.000          0.045            197
       -261.000          0.055            262
       -205.000          0.047            206
       -243.000          0.062            244
       -133.000          0.066            134
       -243.000          0.076            244
       -212.000          0.079            213
       -156.000          0.074            157
       -151.000          0.088            152
       -321.000          0.092            322
       -289.000          0.100            290
       -120.000          0.104            121
       -124.000          0.138            125
       -173.000          0.116            174
       -170.000          0.119            171
       -141.000          0.151            142
       -203.000          0.133            204
       -107.000          0.143            108
       -192.000          0.126            193
       -159.000          0.125            160
       -158.000          0.128            159
       -159.000          0.152            160
       -182.000          0.163            183
       -148.000          0.197            149
       -125.000          0.159            126
       -121.000          0.158            122
       -122.000          0.169            123
       -119.000          0.149            120
       -111.000          0.195            112
       -139.000          0.172            140
       -105.000          0.181            106
       -139.000          0.206            140
       -183.000          0.224            184
       -112.000          0.190            113
       -104.000          0.215            105
       -160.000          0.228            161
       -124.000          0.260            125
       -142.000          0.224            143
       -133.000          0.263            134
       -156.000          0.239            157
        -97.000          0.272             98
       -119.000          0.240            120
       -114.000          0.234            115
       -137.000          0.240            138
       -126.000          0.240            127
       -156.000          0.263            157
       -117.000          0.305            118
       -178.000          0.289            179
       -144.000          0.309            145
       -151.000          0.319            152
       -147.000          0.310            148
       -149.000          0.341            150
        -95.000          0.285             96
       -128.000          0.247            129
       -152.000          0.358            153
       -146.000          0.322            147
       -109.000          0.322            110
       -163.000          0.344            164
       -301.000          0.304            302
       -115.000          0.322            116
       -150.000          0.391            151
       -131.000          0.324            132
       -144.000          0.325            145
       -105.000          0.362            106
       -175.000          0.313            176
       -135.000          0.336            136
       -121.000          0.346            122
       -122.000          0.330            123
       -121.000          0.381            122
       -114.000          0.402            115
        -92.000          0.305             93
        -99.000          0.384            100
        -94.000          0.412             95
       -120.000          0.356            121
       -119.000          0.432            120
       -110.000          0.342            111
        -97.000          0.425             98
       -104.000          0.401            105
       -103.000          0.418            104
       -143.000          0.412            144
       -132.000          0.433            133
        -99.000          0.413            100
       -130.000          0.364            131
       -108.000          0.431            109
       -121.000          0.408            122
       -131.000          0.408            132
       -117.000          0.399            118
       -135.000          0.379            136
       -105.000          0.363            106
       -110.000          0.475            111
       -120.000          0.419            121
        -92.000          0.387             93
       -146.000          0.437            147
       -101.000          0.335            102
       -140.000          0.454            141
       -127.000          0.412            128
       -124.000          0.462            125
       -132.000          0.426            133
       -129.000          0.427            130
       -156.000          0.499            157
        -93.000          0.500             94
        -96.000          0.461             97
       -143.000          0.447            144
       -155.000          0.392            156
        -83.000          0.468             84
       -155.000          0.473            156
        -87.000          0.418             88
       -112.000          0.462            113
       -108.000          0.530            109
       -110.000          0.415            111
       -118.000          0.450            119
       -111.000          0.449            112
        -81.000          0.477             82
       -135.000          0.474            136
       -103.000          0.438            104
       -100.000          0.423            101
       -122.000          0.503            123
       -120.000          0.462            121
       -106.000          0.514            107
       -144.000          0.501            145
       -106.000          0.518            107
       -344.000          0.452            345
       -103.000          0.492            104
       -118.000          0.492            119
        -93.000          0.472             94
       -107.000          0.473            108
       -103.000          0.419            104
        -96.000          0.506             97
       -124.000          0.477            125
       -114.000          0.543            115
       -123.000          0.471            124
        -96.000          0.591             97
        -85.000          0.510             86
       -111.000          0.421            112
        -96.000          0.457             97
       -100.000          0.495            101
       -114.000          0.464            115
       -122.000          0.469            123
       -107.000          0.477            108
        -95.000          0.505             96
        -88.000          0.414             89
        -94.000          0.507             95
        -91.000          0.542             92
       -111.000          0.452            112
       -106.000          0.471            107
       -120.000          0.538            121
       -112.000          0.548            113
       -176.000          0.523            177
       -109.000          0.540            110
       -125.000          0.500            126
       -136.000          0.470            137
        -89.000          0.505             90
        -93.000          0.491             94
       -118.000          0.492            119
       -103.000          0.591            104
       -103.000          0.501            104
       -117.000          0.477            118
       -119.000          0.526            120
        -83.000          0.475             84
       -199.000          0.523            200
       -150.000          0.516            151
