 Episode    Step   Epsilon     MeanReward     MeanLength       MeanLoss     MeanQValue      TimeDelta                Time
      10    4800     0.710       -479.900        480.000          0.007        -10.429         13.226 2025-12-01T18:12:28
      20    8084     0.604       -403.750        404.200          0.020        -17.846          9.146 2025-12-01T18:12:37
      30   10138     0.546       -337.300        337.933          0.035        -23.072          5.762 2025-12-01T18:12:43
      40   11952     0.499       -298.075        298.800          0.053        -26.955          5.126 2025-12-01T18:12:48
      50   13454     0.464       -268.300        269.080          0.073        -30.040          4.235 2025-12-01T18:12:52
      60   15134     0.427       -251.417        252.233          0.095        -32.631          4.679 2025-12-01T18:12:57
      70   16466     0.400       -234.386        235.229          0.118        -34.871          3.721 2025-12-01T18:13:00
      80   17798     0.375       -221.612        222.475          0.140        -36.849          3.759 2025-12-01T18:13:04
      90   19158     0.351       -211.989        212.867          0.160        -38.609          3.824 2025-12-01T18:13:08
     100   20308     0.332       -202.190        203.080          0.179        -40.167          3.267 2025-12-01T18:13:11
     110   21578     0.312       -166.800        167.780          0.216        -44.677          3.573 2025-12-01T18:13:15
     120   22748     0.295       -145.640        146.640          0.252        -47.809          3.311 2025-12-01T18:13:18
     130   23983     0.278       -137.450        138.450          0.283        -50.172          3.455 2025-12-01T18:13:22
     140   25213     0.262       -131.610        132.610          0.313        -52.082          3.418 2025-12-01T18:13:25
     150   26205     0.250       -126.510        127.510          0.340        -53.635          2.734 2025-12-01T18:13:28
     160   27267     0.238       -120.330        121.330          0.360        -54.871          2.951 2025-12-01T18:13:31
     170   28332     0.226       -117.660        118.660          0.377        -55.810          2.942 2025-12-01T18:13:34
     180   29333     0.215       -114.350        115.350          0.389        -56.483          2.739 2025-12-01T18:13:36
     190   30382     0.205       -111.240        112.240          0.397        -56.896          2.875 2025-12-01T18:13:39
     200   31301     0.196       -108.930        109.930          0.404        -57.075          2.526 2025-12-01T18:13:42
     210   32244     0.187       -105.660        106.660          0.408        -57.036          2.670 2025-12-01T18:13:44
     220   33244     0.179       -103.960        104.960          0.412        -56.747          2.769 2025-12-01T18:13:47
     230   34278     0.170       -101.950        102.950          0.416        -56.233          2.858 2025-12-01T18:13:50
     240   35204     0.163        -98.910         99.910          0.417        -55.473          2.589 2025-12-01T18:13:53
     250   36087     0.156        -97.820         98.820          0.418        -54.508          2.438 2025-12-01T18:13:55
     260   36947     0.150        -95.800         96.800          0.416        -53.394          2.405 2025-12-01T18:13:57
     270   37985     0.143        -95.530         96.530          0.419        -52.000          2.873 2025-12-01T18:14:00
     280   39054     0.136        -96.210         97.210          0.422        -50.412          2.975 2025-12-01T18:14:03
     290   40092     0.130        -96.100         97.100          0.431        -48.521          2.875 2025-12-01T18:14:06
     300   41005     0.124        -96.040         97.040          0.436        -46.530          2.555 2025-12-01T18:14:09
     310   41884     0.120        -95.400         96.400          0.438        -44.496          2.410 2025-12-01T18:14:11
     320   42841     0.114        -94.970         95.970          0.436        -42.470          2.627 2025-12-01T18:14:14
     330   43709     0.110        -93.310         94.310          0.432        -40.479          2.403 2025-12-01T18:14:16
     340   44559     0.106        -92.550         93.550          0.425        -38.639          2.331 2025-12-01T18:14:19
     350   46062     0.099        -98.760         99.750          0.413        -36.874          4.267 2025-12-01T18:14:23
     360   47400     0.093       -103.550        104.530          0.403        -34.901          3.673 2025-12-01T18:14:26
     370   48292     0.090       -102.090        103.070          0.382        -33.232          2.519 2025-12-01T18:14:29
     380   49220     0.086       -100.680        101.660          0.358        -31.833          2.600 2025-12-01T18:14:32
     390   50217     0.082       -100.270        101.250          0.328        -30.852          2.815 2025-12-01T18:14:34
     400   51148     0.079       -100.450        101.430          0.299        -30.066          2.598 2025-12-01T18:14:37
     410   52078     0.076       -100.960        101.940          0.274        -29.433          2.573 2025-12-01T18:14:40
     420   53008     0.073       -100.690        101.670          0.254        -28.980          2.599 2025-12-01T18:14:42
     430   54101     0.069       -102.940        103.920          0.237        -28.714          3.059 2025-12-01T18:14:45
     440   55061     0.067       -104.040        105.020          0.226        -28.528          2.666 2025-12-01T18:14:48
     450   55991     0.064        -98.300         99.290          0.220        -28.530          2.584 2025-12-01T18:14:50
     460   56908     0.062        -94.080         95.080          0.218        -28.973          2.558 2025-12-01T18:14:53
     470   57793     0.059        -94.010         95.010          0.223        -29.452          2.473 2025-12-01T18:14:56
     480   58670     0.057        -93.500         94.500          0.232        -29.951          2.449 2025-12-01T18:14:58
     490   59547     0.055        -92.300         93.300          0.244        -30.478          2.459 2025-12-01T18:15:00
     500   60435     0.053        -91.870         92.870          0.257        -31.070          2.444 2025-12-01T18:15:03
     510   61375     0.051        -91.970         92.970          0.271        -31.717          2.578 2025-12-01T18:15:05
     520   62233     0.050        -91.250         92.250          0.283        -32.385          2.366 2025-12-01T18:15:08
     530   63138     0.048        -89.370         90.370          0.293        -33.068          2.514 2025-12-01T18:15:10
     540   64009     0.046        -88.480         89.480          0.301        -33.777          2.453 2025-12-01T18:15:13
     550   64814     0.045        -87.230         88.230          0.306        -34.489          2.259 2025-12-01T18:15:15
     560   65637     0.043        -86.290         87.290          0.310        -35.160          2.298 2025-12-01T18:15:17
     570   66803     0.042        -89.100         90.100          0.314        -35.816          3.335 2025-12-01T18:15:21
     580   67751     0.040        -89.810         90.810          0.320        -36.373          2.948 2025-12-01T18:15:24
     590   69268     0.038        -96.220         97.210          0.325        -36.783          4.358 2025-12-01T18:15:28
     600   70082     0.037        -95.480         96.470          0.328        -37.073          2.338 2025-12-01T18:15:30
     610   71070     0.035        -95.960         96.950          0.330        -37.312          2.768 2025-12-01T18:15:33
     620   72020     0.034        -96.880         97.870          0.332        -37.490          2.617 2025-12-01T18:15:36
     630   73065     0.033        -98.280         99.270          0.337        -37.575          2.884 2025-12-01T18:15:39
     640   73922     0.032        -98.140         99.130          0.342        -37.553          2.372 2025-12-01T18:15:41
     650   74688     0.031        -97.750         98.740          0.348        -37.461          2.176 2025-12-01T18:15:43
     660   75576     0.030        -98.400         99.390          0.351        -37.309          2.465 2025-12-01T18:15:46
     670   76478     0.029        -95.760         96.750          0.353        -37.128          2.525 2025-12-01T18:15:48
     680   77386     0.029        -95.360         96.350          0.350        -36.975          2.530 2025-12-01T18:15:51
     690   78331     0.028        -89.630         90.630          0.347        -36.861          2.644 2025-12-01T18:15:53
     700   79176     0.027        -89.940         90.940          0.343        -36.800          2.388 2025-12-01T18:15:56
     710   80024     0.026        -88.540         89.540          0.339        -36.671          2.387 2025-12-01T18:15:58
     720   80922     0.026        -88.020         89.020          0.334        -36.518          2.569 2025-12-01T18:16:01
     730   81753     0.025        -85.880         86.880          0.327        -36.382          2.327 2025-12-01T18:16:03
     740   82595     0.024        -85.730         86.730          0.321        -36.293          2.354 2025-12-01T18:16:05
     750   83332     0.024        -85.440         86.440          0.315        -36.216          2.119 2025-12-01T18:16:07
     760   84151     0.023        -84.750         85.750          0.309        -36.167          2.303 2025-12-01T18:16:10
     770   84955     0.023        -83.770         84.770          0.305        -36.095          2.257 2025-12-01T18:16:12
     780   85806     0.022        -83.200         84.200          0.301        -36.030          2.382 2025-12-01T18:16:14
     790   86572     0.022        -81.410         82.410          0.299        -35.987          2.194 2025-12-01T18:16:17
     800   87405     0.021        -81.290         82.290          0.297        -35.938          2.314 2025-12-01T18:16:19
     810   88219     0.021        -80.950         81.950          0.294        -35.930          2.267 2025-12-01T18:16:21
     820   89031     0.020        -80.090         81.090          0.291        -35.916          2.254 2025-12-01T18:16:23
     830   89872     0.020        -80.190         81.190          0.288        -35.894          2.330 2025-12-01T18:16:26
     840   90649     0.020        -79.540         80.540          0.285        -35.841          2.224 2025-12-01T18:16:28
     850   91492     0.019        -80.600         81.600          0.280        -35.760          2.380 2025-12-01T18:16:30
     860   92245     0.019        -79.940         80.940          0.276        -35.654          2.121 2025-12-01T18:16:32
     870   93042     0.018        -79.870         80.870          0.270        -35.556          2.226 2025-12-01T18:16:35
     880   93802     0.018        -78.960         79.960          0.264        -35.417          2.093 2025-12-01T18:16:37
     890   94610     0.018        -79.380         80.380          0.257        -35.266          2.302 2025-12-01T18:16:39
     900   95490     0.018        -79.850         80.850          0.249        -35.041          2.454 2025-12-01T18:16:42
     910   96298     0.017        -79.790         80.790          0.244        -34.794          2.236 2025-12-01T18:16:44
     920   97143     0.017        -80.120         81.120          0.237        -34.527          2.395 2025-12-01T18:16:46
     930   97966     0.017        -79.940         80.940          0.231        -34.253          2.362 2025-12-01T18:16:49
     940   98752     0.016        -80.030         81.030          0.226        -33.996          2.262 2025-12-01T18:16:51
     950   99560     0.016        -79.680         80.680          0.221        -33.721          2.263 2025-12-01T18:16:53
     960  100409     0.016        -80.640         81.640          0.216        -33.443          2.352 2025-12-01T18:16:55
     970  101208     0.016        -80.660         81.660          0.213        -33.168          2.236 2025-12-01T18:16:58
     980  102166     0.015        -82.640         83.640          0.210        -32.905          2.696 2025-12-01T18:17:00
     990  102979     0.015        -82.690         83.690          0.209        -32.631          2.313 2025-12-01T18:17:03
    1000  103742     0.015        -81.520         82.520          0.208        -32.429          2.129 2025-12-01T18:17:05
    1010  104539     0.015        -81.410         82.410          0.208        -32.250          2.207 2025-12-01T18:17:07
    1020  105354     0.015        -81.110         82.110          0.209        -32.135          2.273 2025-12-01T18:17:09
    1030  106152     0.014        -80.860         81.860          0.211        -32.038          2.236 2025-12-01T18:17:11
    1040  106954     0.014        -81.020         82.020          0.213        -31.966          2.275 2025-12-01T18:17:14
    1050  107715     0.014        -80.550         81.550          0.216        -31.917          2.130 2025-12-01T18:17:16
    1060  108548     0.014        -80.390         81.390          0.219        -31.885          2.334 2025-12-01T18:17:18
    1070  109509     0.014        -82.010         83.010          0.222        -31.875          2.679 2025-12-01T18:17:21
    1080  110474     0.014        -82.080         83.080          0.227        -31.863          2.669 2025-12-01T18:17:24
    1090  111247     0.013        -81.680         82.680          0.231        -31.898          2.161 2025-12-01T18:17:26
    1100  112059     0.013        -82.170         83.170          0.236        -31.947          2.267 2025-12-01T18:17:28
    1110  112846     0.013        -82.070         83.070          0.240        -32.036          2.229 2025-12-01T18:17:30
    1120  113625     0.013        -81.710         82.710          0.243        -32.107          2.192 2025-12-01T18:17:32
    1130  114438     0.013        -81.860         82.860          0.245        -32.186          2.289 2025-12-01T18:17:35
    1140  115272     0.013        -82.180         83.180          0.248        -32.262          2.290 2025-12-01T18:17:37
    1150  116059     0.013        -82.440         83.440          0.249        -32.341          2.179 2025-12-01T18:17:39
    1160  116869     0.013        -82.210         83.210          0.251        -32.419          2.254 2025-12-01T18:17:41
    1170  117695     0.012        -80.860         81.860          0.252        -32.495          2.312 2025-12-01T18:17:44
    1180  118467     0.012        -78.930         79.930          0.250        -32.606          2.184 2025-12-01T18:17:46
    1190  119248     0.012        -79.010         80.010          0.249        -32.705          2.195 2025-12-01T18:17:48
    1200  120061     0.012        -79.020         80.020          0.245        -32.776          2.271 2025-12-01T18:17:50
    1210  120911     0.012        -79.650         80.650          0.242        -32.778          2.389 2025-12-01T18:17:53
    1220  121786     0.012        -80.610         81.610          0.239        -32.775          2.414 2025-12-01T18:17:55
    1230  122620     0.012        -80.820         81.820          0.235        -32.751          2.372 2025-12-01T18:17:58
    1240  123401     0.012        -80.290         81.290          0.230        -32.715          2.207 2025-12-01T18:18:00
    1250  124221     0.012        -80.620         81.620          0.226        -32.660          2.303 2025-12-01T18:18:02
    1260  125038     0.012        -80.690         81.690          0.222        -32.612          2.248 2025-12-01T18:18:04
    1270  125898     0.012        -81.030         82.030          0.218        -32.546          2.389 2025-12-01T18:18:07
    1280  126777     0.012        -82.100         83.100          0.214        -32.462          2.502 2025-12-01T18:18:09
    1290  127542     0.012        -81.940         82.940          0.211        -32.359          2.119 2025-12-01T18:18:11
    1300  128313     0.011        -81.520         82.520          0.209        -32.287          2.143 2025-12-01T18:18:13
    1310  129103     0.011        -80.920         81.920          0.208        -32.223          2.181 2025-12-01T18:18:16
    1320  129897     0.011        -80.110         81.110          0.208        -32.168          2.237 2025-12-01T18:18:18
    1330  130702     0.011        -79.820         80.820          0.208        -32.123          2.262 2025-12-01T18:18:20
    1340  131464     0.011        -79.630         80.630          0.208        -32.091          2.198 2025-12-01T18:18:22
    1350  132240     0.011        -79.190         80.190          0.208        -32.086          2.155 2025-12-01T18:18:25
    1360  133121     0.011        -79.830         80.830          0.207        -32.050          2.455 2025-12-01T18:18:27
    1370  133954     0.011        -79.560         80.560          0.207        -32.035          2.353 2025-12-01T18:18:29
    1380  134777     0.011        -79.000         80.000          0.207        -32.029          2.320 2025-12-01T18:18:32
    1390  135539     0.011        -78.970         79.970          0.206        -32.046          2.124 2025-12-01T18:18:34
    1400  136281     0.011        -78.680         79.680          0.204        -32.054          2.072 2025-12-01T18:18:36
    1410  137136     0.011        -79.330         80.330          0.201        -32.074          2.383 2025-12-01T18:18:38
    1420  137894     0.011        -78.970         79.970          0.199        -32.082          2.132 2025-12-01T18:18:40
    1430  138757     0.011        -79.550         80.550          0.196        -32.079          2.408 2025-12-01T18:18:43
    1440  139609     0.011        -80.450         81.450          0.192        -32.067          2.352 2025-12-01T18:18:45
    1450  140356     0.011        -80.160         81.160          0.190        -32.027          2.067 2025-12-01T18:18:47
    1460  141122     0.011        -79.010         80.010          0.188        -32.020          2.141 2025-12-01T18:18:49
    1470  141872     0.011        -78.180         79.180          0.186        -32.009          2.129 2025-12-01T18:18:51
    1480  142623     0.011        -77.460         78.460          0.185        -32.009          2.069 2025-12-01T18:18:54
    1490  143365     0.011        -77.260         78.260          0.183        -32.000          2.046 2025-12-01T18:18:56
    1500  144184     0.011        -78.030         79.030          0.183        -31.983          2.264 2025-12-01T18:18:58
    1510  145127     0.011        -78.910         79.910          0.183        -31.967          2.661 2025-12-01T18:19:00
    1520  145953     0.011        -79.590         80.590          0.185        -31.915          2.327 2025-12-01T18:19:03
    1530  146870     0.011        -80.130         81.130          0.188        -31.853          2.544 2025-12-01T18:19:05
    1540  147650     0.011        -79.410         80.410          0.192        -31.787          2.230 2025-12-01T18:19:08
    1550  148474     0.011        -80.180         81.180          0.195        -31.736          2.308 2025-12-01T18:19:10
    1560  149297     0.011        -80.750         81.750          0.200        -31.682          2.324 2025-12-01T18:19:12
    1570  150117     0.010        -81.450         82.450          0.203        -31.624          2.331 2025-12-01T18:19:15
    1580  150863     0.010        -81.400         82.400          0.207        -31.560          2.091 2025-12-01T18:19:17
    1590  151697     0.010        -82.320         83.320          0.210        -31.496          2.345 2025-12-01T18:19:19
    1600  152484     0.010        -82.000         83.000          0.213        -31.424          2.218 2025-12-01T18:19:21
    1610  153311     0.010        -80.840         81.840          0.216        -31.361          2.284 2025-12-01T18:19:23
    1620  154134     0.010        -80.810         81.810          0.218        -31.343          2.330 2025-12-01T18:19:26
    1630  154899     0.010        -79.290         80.290          0.219        -31.359          2.130 2025-12-01T18:19:28
    1640  155722     0.010        -79.720         80.720          0.219        -31.388          2.270 2025-12-01T18:19:30
    1650  156599     0.010        -80.250         81.250          0.218        -31.428          2.428 2025-12-01T18:19:33
    1660  157446     0.010        -80.490         81.490          0.216        -31.472          2.337 2025-12-01T18:19:35
    1670  158217     0.010        -80.000         81.000          0.214        -31.536          2.196 2025-12-01T18:19:37
    1680  159096     0.010        -81.330         82.330          0.213        -31.611          2.445 2025-12-01T18:19:40
    1690  160026     0.010        -82.290         83.290          0.214        -31.683          2.586 2025-12-01T18:19:42
    1700  160913     0.010        -83.290         84.290          0.215        -31.763          2.464 2025-12-01T18:19:45
    1710  161744     0.010        -83.330         84.330          0.217        -31.841          2.306 2025-12-01T18:19:47
    1720  162650     0.010        -84.160         85.160          0.219        -31.921          2.547 2025-12-01T18:19:50
    1730  163437     0.010        -84.380         85.380          0.222        -32.007          2.162 2025-12-01T18:19:52
    1740  164224     0.010        -84.020         85.020          0.226        -32.093          2.158 2025-12-01T18:19:54
    1750  165272     0.010        -85.730         86.730          0.233        -32.175          2.894 2025-12-01T18:19:57
    1760  166069     0.010        -85.230         86.230          0.240        -32.265          2.205 2025-12-01T18:19:59
    1770  166979     0.010        -86.620         87.620          0.248        -32.337          2.570 2025-12-01T18:20:02
    1780  167857     0.010        -86.610         87.610          0.257        -32.394          2.430 2025-12-01T18:20:04
    1790  168788     0.010        -86.620         87.620          0.265        -32.439          2.592 2025-12-01T18:20:07
    1800  169662     0.010        -86.490         87.490          0.273        -32.489          2.425 2025-12-01T18:20:09
    1810  170526     0.010        -86.820         87.820          0.280        -32.549          2.477 2025-12-01T18:20:11
    1820  171401     0.010        -86.510         87.510          0.285        -32.601          2.441 2025-12-01T18:20:14
    1830  172145     0.010        -86.080         87.080          0.289        -32.641          2.081 2025-12-01T18:20:16
    1840  172969     0.010        -86.450         87.450          0.293        -32.685          2.305 2025-12-01T18:20:18
    1850  173771     0.010        -83.990         84.990          0.294        -32.724          2.234 2025-12-01T18:20:21
    1860  174692     0.010        -85.230         86.230          0.293        -32.745          2.585 2025-12-01T18:20:23
    1870  175475     0.010        -83.960         84.960          0.292        -32.769          2.176 2025-12-01T18:20:25
    1880  176278     0.010        -83.210         84.210          0.290        -32.788          2.229 2025-12-01T18:20:27
    1890  177062     0.010        -81.740         82.740          0.287        -32.841          2.215 2025-12-01T18:20:30
    1900  178108     0.010        -83.460         84.460          0.284        -32.877          2.884 2025-12-01T18:20:33
    1910  178957     0.010        -83.310         84.310          0.283        -32.906          2.381 2025-12-01T18:20:35
    1920  179774     0.010        -82.730         83.730          0.281        -32.950          2.295 2025-12-01T18:20:37
    1930  180689     0.010        -84.440         85.440          0.279        -33.014          2.517 2025-12-01T18:20:40
    1940  181515     0.010        -84.460         85.460          0.279        -33.054          2.294 2025-12-01T18:20:42
    1950  182385     0.010        -85.140         86.140          0.278        -33.101          2.395 2025-12-01T18:20:44
    1960  183226     0.010        -84.340         85.340          0.278        -33.143          2.371 2025-12-01T18:20:47
    1970  184024     0.010        -84.490         85.490          0.278        -33.190          2.200 2025-12-01T18:20:49
    1980  184841     0.010        -84.630         85.630          0.278        -33.249          2.279 2025-12-01T18:20:51
    1990  185847     0.010        -86.850         87.850          0.279        -33.284          2.776 2025-12-01T18:20:54
    2000  186702     0.010        -84.940         85.940          0.281        -33.308          2.401 2025-12-01T18:20:57
