         Reward           Loss         Length
       -500.000          0.027            500
       -500.000          0.001            500
       -500.000          0.000            500
       -500.000          0.001            500
       -500.000          0.001            500
       -500.000          0.001            500
       -500.000          0.002            500
       -500.000          0.003            500
       -452.000          0.007            453
       -264.000          0.015            265
       -318.000          0.020            319
       -215.000          0.018            216
       -193.000          0.020            194
       -331.000          0.025            332
       -306.000          0.031            307
       -355.000          0.034            356
       -413.000          0.038            414
       -201.000          0.044            202
       -261.000          0.045            262
       -200.000          0.058            201
       -241.000          0.057            242
       -248.000          0.050            249
       -233.000          0.053            234
       -245.000          0.057            246
       -233.000          0.064            234
       -169.000          0.073            170
       -202.000          0.092            203
       -273.000          0.074            274
       -165.000          0.075            166
       -247.000          0.082            248
       -102.000          0.087            103
       -435.000          0.084            436
       -190.000          0.102            191
       -174.000          0.086            175
       -157.000          0.091            158
       -343.000          0.118            344
       -181.000          0.124            182
       -194.000          0.138            195
       -129.000          0.130            130
       -271.000          0.130            272
       -130.000          0.149            131
       -223.000          0.132            224
       -181.000          0.155            182
       -107.000          0.138            108
       -125.000          0.181            126
        -94.000          0.143             95
       -169.000          0.165            170
       -107.000          0.196            108
       -159.000          0.194            160
       -111.000          0.122            112
       -144.000          0.171            145
       -140.000          0.209            141
       -131.000          0.205            132
       -142.000          0.201            143
       -158.000          0.204            159
       -113.000          0.231            114
       -136.000          0.198            137
       -151.000          0.223            152
       -133.000          0.204            134
       -160.000          0.217            161
       -113.000          0.242            114
       -131.000          0.232            132
       -134.000          0.250            135
       -166.000          0.250            167
       -124.000          0.230            125
       -131.000          0.231            132
       -154.000          0.224            155
       -171.000          0.218            172
       -149.000          0.268            150
        -83.000          0.267             84
       -135.000          0.283            136
       -153.000          0.273            154
       -104.000          0.214            105
       -125.000          0.254            126
       -112.000          0.277            113
       -119.000          0.294            120
       -128.000          0.281            129
       -102.000          0.297            103
       -113.000          0.318            114
       -146.000          0.320            147
       -143.000          0.287            144
       -102.000          0.332            103
       -129.000          0.286            130
       -123.000          0.290            124
       -128.000          0.307            129
       -135.000          0.354            136
       -104.000          0.303            105
       -124.000          0.296            125
       -141.000          0.354            142
       -155.000          0.313            156
       -308.000          0.334            309
       -106.000          0.297            107
       -147.000          0.341            148
       -111.000          0.323            112
       -136.000          0.382            137
       -132.000          0.346            133
       -129.000          0.358            130
       -124.000          0.312            125
       -103.000          0.341            104
       -109.000          0.288            110
       -117.000          0.385            118
       -108.000          0.366            109
        -96.000          0.394             97
       -133.000          0.358            134
       -119.000          0.397            120
       -127.000          0.305            128
       -125.000          0.418            126
       -124.000          0.455            125
       -131.000          0.383            132
        -92.000          0.332             93
       -120.000          0.384            121
       -102.000          0.359            103
       -119.000          0.391            120
       -114.000          0.393            115
       -124.000          0.375            125
       -115.000          0.381            116
       -101.000          0.435            102
       -135.000          0.403            136
       -137.000          0.469            138
       -124.000          0.405            125
       -133.000          0.401            134
       -106.000          0.435            107
       -102.000          0.436            103
        -80.000          0.372             81
       -101.000          0.374            102
       -102.000          0.455            103
        -92.000          0.424             93
       -142.000          0.435            143
       -102.000          0.404            103
        -81.000          0.355             82
       -116.000          0.406            117
       -122.000          0.389            123
       -117.000          0.428            118
       -119.000          0.398            120
       -110.000          0.482            111
       -110.000          0.425            111
       -144.000          0.516            145
       -128.000          0.421            129
       -115.000          0.429            116
       -111.000          0.385            112
       -109.000          0.440            110
       -126.000          0.435            127
       -129.000          0.428            130
       -101.000          0.428            102
       -110.000          0.451            111
       -113.000          0.446            114
       -116.000          0.424            117
       -117.000          0.436            118
       -214.000          0.461            215
       -110.000          0.419            111
       -100.000          0.464            101
       -111.000          0.479            112
       -106.000          0.409            107
        -94.000          0.450             95
        -84.000          0.452             85
       -105.000          0.419            106
       -122.000          0.440            123
        -76.000          0.470             77
       -111.000          0.438            112
       -117.000          0.431            118
       -104.000          0.460            105
       -154.000          0.452            155
       -110.000          0.446            111
        -90.000          0.467             91
       -140.000          0.470            141
       -108.000          0.442            109
        -95.000          0.453             96
        -99.000          0.460            100
       -170.000          0.475            171
        -98.000          0.469             99
       -109.000          0.431            110
        -98.000          0.463             99
        -86.000          0.427             87
        -94.000          0.449             95
        -90.000          0.456             91
        -96.000          0.455             97
        -92.000          0.497             93
        -91.000          0.492             92
       -109.000          0.497            110
       -102.000          0.442            103
       -120.000          0.460            121
       -102.000          0.470            103
       -141.000          0.493            142
        -86.000          0.457             87
       -111.000          0.433            112
        -63.000          0.471             64
        -87.000          0.493             88
        -81.000          0.525             82
       -138.000          0.471            139
       -103.000          0.541            104
        -91.000          0.442             92
        -81.000          0.504             82
        -93.000          0.465             94
       -113.000          0.492            114
        -89.000          0.403             90
        -83.000          0.503             84
       -129.000          0.494            130
        -92.000          0.530             93
       -111.000          0.479            112
       -129.000          0.506            130
        -87.000          0.499             88
        -86.000          0.475             87
        -90.000          0.470             91
       -103.000          0.461            104
       -106.000          0.461            107
       -105.000          0.465            106
       -127.000          0.494            128
       -106.000          0.465            107
        -92.000          0.506             93
       -122.000          0.478            123
        -81.000          0.487             82
        -85.000          0.469             86
       -100.000          0.486            101
       -104.000          0.474            105
       -105.000          0.501            106
        -78.000          0.469             79
        -83.000          0.442             84
        -98.000          0.476             99
        -96.000          0.506             97
        -90.000          0.495             91
       -165.000          0.466            166
        -91.000          0.485             92
        -80.000          0.498             81
        -97.000          0.492             98
        -90.000          0.528             91
       -109.000          0.523            110
        -86.000          0.462             87
       -102.000          0.487            103
       -113.000          0.506            114
       -107.000          0.519            108
        -83.000          0.504             84
        -99.000          0.517            100
       -500.000          0.501            500
       -103.000          0.487            104
        -73.000          0.490             74
       -111.000          0.469            112
        -99.000          0.480            100
       -112.000          0.482            113
        -85.000          0.499             86
        -97.000          0.452             98
       -103.000          0.494            104
        -96.000          0.472             97
        -73.000          0.471             74
       -104.000          0.486            105
        -87.000          0.486             88
        -94.000          0.455             95
        -67.000          0.483             68
       -105.000          0.490            106
       -111.000          0.479            112
        -87.000          0.454             88
       -121.000          0.455            122
        -89.000          0.430             90
        -92.000          0.472             93
        -69.000          0.469             70
        -84.000          0.416             85
       -112.000          0.433            113
        -91.000          0.456             92
        -87.000          0.419             88
        -79.000          0.461             80
        -87.000          0.448             88
        -89.000          0.414             90
        -83.000          0.429             84
        -76.000          0.426             77
       -101.000          0.435            102
        -79.000          0.432             80
        -97.000          0.418             98
       -500.000          0.416            500
        -96.000          0.401             97
        -93.000          0.418             94
        -98.000          0.390             99
        -85.000          0.415             86
        -81.000          0.443             82
        -90.000          0.425             91
        -89.000          0.409             90
        -76.000          0.378             77
       -104.000          0.419            105
       -115.000          0.394            116
        -86.000          0.430             87
        -88.000          0.371             89
       -208.000          0.394            209
       -114.000          0.422            115
       -110.000          0.433            111
        -74.000          0.468             75
        -84.000          0.409             85
       -100.000          0.432            101
        -85.000          0.409             86
        -91.000          0.395             92
       -100.000          0.457            101
        -66.000          0.414             67
       -106.000          0.432            107
       -144.000          0.416            145
        -95.000          0.429             96
        -78.000          0.422             79
        -92.000          0.425             93
       -131.000          0.416            132
        -95.000          0.439             96
        -89.000          0.439             90
        -93.000          0.423             94
       -127.000          0.435            128
        -85.000          0.427             86
        -77.000          0.414             78
        -94.000          0.440             95
        -98.000          0.410             99
        -91.000          0.401             92
        -91.000          0.416             92
        -82.000          0.399             83
       -135.000          0.398            136
        -90.000          0.396             91
        -93.000          0.396             94
        -80.000          0.405             81
       -152.000          0.391            153
        -70.000          0.396             71
        -69.000          0.380             70
        -68.000          0.397             69
       -118.000          0.406            119
       -113.000          0.407            114
       -114.000          0.400            115
        -77.000          0.385             78
        -93.000          0.419             94
        -80.000          0.385             81
        -97.000          0.396             98
        -93.000          0.398             94
       -101.000          0.389            102
        -80.000          0.393             81
        -92.000          0.366             93
        -91.000          0.384             92
       -124.000          0.395            125
        -91.000          0.373             92
       -102.000          0.364            103
        -92.000          0.391             93
       -108.000          0.373            109
       -500.000          0.398            500
        -63.000          0.400             64
        -90.000          0.400             91
        -73.000          0.412             74
        -87.000          0.409             88
        -76.000          0.404             77
        -81.000          0.411             82
        -84.000          0.393             85
        -91.000          0.406             92
       -108.000          0.381            109
        -68.000          0.404             69
        -93.000          0.400             94
        -85.000          0.378             86
       -500.000          0.387            500
        -85.000          0.402             86
        -77.000          0.389             78
        -79.000          0.356             80
        -95.000          0.380             96
        -95.000          0.400             96
        -87.000          0.382             88
        -83.000          0.385             84
        -98.000          0.383             99
       -123.000          0.400            124
        -94.000          0.416             95
        -88.000          0.412             89
        -83.000          0.424             84
        -87.000          0.394             88
        -78.000          0.386             79
        -72.000          0.381             73
        -96.000          0.392             97
        -82.000          0.375             83
        -85.000          0.397             86
       -107.000          0.389            108
        -61.000          0.395             62
        -71.000          0.380             72
        -75.000          0.412             76
        -71.000          0.402             72
       -101.000          0.383            102
        -83.000          0.374             84
       -109.000          0.391            110
        -84.000          0.377             85
       -110.000          0.389            111
        -71.000          0.398             72
        -69.000          0.415             70
        -74.000          0.384             75
        -78.000          0.397             79
        -74.000          0.399             75
        -87.000          0.396             88
       -101.000          0.389            102
        -62.000          0.372             63
        -90.000          0.397             91
        -98.000          0.392             99
        -85.000          0.375             86
        -78.000          0.392             79
        -94.000          0.382             95
        -82.000          0.372             83
        -77.000          0.377             78
       -174.000          0.385            175
       -107.000          0.394            108
       -139.000          0.398            140
        -83.000          0.403             84
        -90.000          0.394             91
        -84.000          0.382             85
        -74.000          0.395             75
        -83.000          0.398             84
       -135.000          0.395            136
