         Reward           Loss         Length
       -500.000          0.957            500
       -500.000          0.109            500
       -500.000          0.046            500
       -500.000          0.031            500
       -500.000          0.027            500
       -500.000          0.025            500
       -500.000          0.027            500
       -500.000          0.032            500
       -500.000          0.032            500
       -448.000          0.051            449
       -335.000          0.200            336
       -218.000          0.277            219
       -263.000          0.366            264
       -462.000          0.378            463
       -401.000          0.414            402
       -340.000          0.424            341
       -295.000          0.422            296
       -222.000          0.559            223
       -313.000          0.553            314
       -153.000          0.523            154
       -279.000          0.593            280
       -216.000          0.708            217
       -225.000          0.659            226
       -146.000          0.735            147
       -208.000          0.755            209
       -218.000          0.738            219
       -259.000          0.832            260
       -172.000          0.921            173
       -174.000          0.959            175
       -161.000          0.948            162
       -416.000          0.883            417
       -156.000          1.063            157
       -201.000          1.028            202
       -183.000          1.137            184
       -171.000          1.142            172
       -152.000          1.278            153
       -150.000          1.177            151
       -212.000          1.185            213
       -161.000          1.284            162
       -141.000          1.312            142
       -109.000          1.379            110
       -125.000          1.346            126
       -158.000          1.312            159
       -177.000          1.465            178
       -105.000          1.467            106
       -144.000          1.565            145
       -141.000          1.709            142
       -225.000          1.680            226
       -154.000          1.639            155
       -150.000          1.749            151
       -110.000          1.715            111
       -152.000          1.702            153
       -221.000          1.792            222
       -177.000          1.803            178
       -115.000          1.900            116
       -178.000          1.830            179
       -133.000          2.040            134
       -159.000          2.064            160
       -109.000          1.857            110
       -228.000          2.086            229
       -124.000          2.042            125
       -155.000          2.132            156
       -137.000          2.075            138
        -97.000          2.143             98
       -164.000          2.026            165
       -153.000          2.070            154
       -132.000          2.230            133
       -115.000          2.106            116
       -146.000          2.255            147
       -135.000          2.287            136
       -134.000          2.246            135
       -123.000          2.158            124
       -132.000          2.202            133
       -161.000          2.447            162
       -140.000          2.328            141
       -102.000          2.202            103
        -89.000          2.343             90
       -137.000          2.246            138
       -123.000          2.477            124
       -129.000          2.310            130
       -142.000          2.342            143
        -89.000          2.366             90
       -171.000          2.265            172
       -125.000          2.335            126
       -189.000          2.424            190
       -153.000          2.319            154
       -136.000          2.500            137
       -174.000          2.273            175
       -125.000          2.365            126
       -120.000          2.208            121
       -157.000          2.412            158
        -96.000          2.330             97
       -112.000          2.276            113
       -117.000          2.390            118
        -91.000          2.214             92
       -145.000          2.438            146
       -101.000          2.281            102
       -107.000          2.423            108
       -115.000          2.212            116
       -137.000          2.343            138
       -118.000          2.211            119
        -70.000          2.419             71
       -139.000          2.180            140
       -127.000          2.264            128
       -152.000          2.199            153
       -100.000          2.150            101
       -101.000          2.220            102
       -142.000          2.282            143
        -98.000          2.204             99
       -143.000          2.142            144
       -142.000          2.145            143
        -96.000          2.069             97
       -128.000          2.046            129
       -104.000          2.089            105
       -162.000          1.995            163
       -127.000          1.986            128
        -89.000          1.970             90
       -100.000          1.936            101
       -146.000          2.007            147
        -91.000          1.911             92
       -121.000          2.051            122
        -91.000          1.982             92
       -111.000          1.866            112
        -94.000          1.896             95
        -94.000          1.858             95
       -117.000          1.830            118
       -104.000          1.889            105
       -116.000          1.815            117
       -141.000          1.784            142
        -97.000          1.786             98
        -96.000          1.789             97
       -125.000          1.768            126
       -128.000          1.724            129
        -93.000          1.630             94
       -121.000          1.653            122
       -113.000          1.665            114
        -93.000          1.631             94
       -141.000          1.603            142
       -116.000          1.572            117
        -97.000          1.576             98
        -89.000          1.540             90
       -114.000          1.509            115
       -104.000          1.510            105
       -116.000          1.440            117
       -111.000          1.460            112
       -497.000          1.444            498
        -78.000          1.491             79
       -141.000          1.464            142
       -120.000          1.445            121
        -75.000          1.393             76
       -100.000          1.364            101
       -113.000          1.381            114
        -82.000          1.381             83
       -111.000          1.375            112
       -124.000          1.343            125
        -82.000          1.359             83
       -107.000          1.363            108
       -118.000          1.335            119
        -96.000          1.309             97
        -94.000          1.313             95
       -104.000          1.280            105
       -112.000          1.316            113
       -110.000          1.274            111
       -104.000          1.342            105
       -111.000          1.297            112
       -128.000          1.334            129
       -101.000          1.365            102
        -78.000          1.383             79
       -106.000          1.392            107
        -84.000          1.348             85
        -78.000          1.363             79
       -105.000          1.380            106
       -112.000          1.351            113
        -90.000          1.403             91
        -83.000          1.406             84
        -93.000          1.385             94
       -100.000          1.426            101
        -93.000          1.390             94
       -122.000          1.395            123
        -77.000          1.396             78
        -81.000          1.435             82
        -81.000          1.480             82
        -78.000          1.393             79
        -85.000          1.481             86
        -80.000          1.427             81
       -111.000          1.471            112
       -102.000          1.470            103
       -117.000          1.513            118
        -82.000          1.510             83
        -97.000          1.456             98
       -117.000          1.503            118
        -91.000          1.502             92
        -82.000          1.483             83
       -117.000          1.502            118
       -109.000          1.483            110
       -107.000          1.506            108
        -84.000          1.485             85
       -105.000          1.514            106
        -76.000          1.541             77
       -102.000          1.536            103
       -117.000          1.519            118
        -68.000          1.502             69
        -73.000          1.499             74
        -93.000          1.520             94
        -77.000          1.570             78
        -76.000          1.516             77
       -112.000          1.578            113
       -122.000          1.592            123
        -95.000          1.534             96
       -104.000          1.572            105
        -93.000          1.475             94
       -104.000          1.502            105
       -114.000          1.527            115
        -84.000          1.500             85
        -81.000          1.546             82
        -93.000          1.493             94
        -83.000          1.510             84
       -101.000          1.494            102
        -82.000          1.406             83
        -77.000          1.497             78
       -114.000          1.427            115
        -91.000          1.454             92
        -90.000          1.468             91
        -94.000          1.405             95
        -85.000          1.438             86
        -74.000          1.422             75
       -100.000          1.336            101
        -92.000          1.428             93
        -99.000          1.420            100
       -127.000          1.334            128
       -105.000          1.396            106
        -87.000          1.422             88
       -157.000          1.349            158
        -97.000          1.401             98
        -83.000          1.388             84
        -83.000          1.358             84
       -116.000          1.357            117
        -81.000          1.370             82
        -90.000          1.328             91
       -111.000          1.383            112
        -99.000          1.359            100
       -111.000          1.344            112
        -83.000          1.319             84
        -90.000          1.340             91
        -92.000          1.333             93
        -88.000          1.343             89
        -92.000          1.306             93
        -82.000          1.270             83
        -63.000          1.287             64
        -77.000          1.263             78
       -106.000          1.200            107
       -121.000          1.152            122
       -153.000          1.175            154
        -83.000          1.147             84
        -89.000          1.166             90
       -107.000          1.147            108
        -77.000          1.150             78
        -78.000          1.133             79
       -133.000          1.107            134
       -113.000          1.113            114
        -63.000          1.126             64
        -75.000          1.132             76
        -87.000          1.088             88
        -97.000          1.097             98
       -128.000          1.089            129
       -101.000          1.073            102
       -100.000          1.119            101
       -107.000          1.110            108
        -81.000          1.078             82
        -91.000          1.083             92
        -91.000          1.060             92
        -96.000          1.055             97
        -85.000          1.082             86
       -121.000          1.096            122
        -67.000          1.085             68
        -75.000          1.036             76
        -80.000          1.042             81
        -92.000          1.046             93
        -85.000          1.058             86
        -73.000          1.066             74
        -80.000          1.077             81
        -92.000          1.037             93
       -232.000          1.066            233
        -86.000          1.095             87
        -84.000          1.110             85
       -105.000          1.110            106
        -75.000          1.119             76
        -95.000          1.168             96
        -62.000          1.148             63
        -87.000          1.096             88
        -86.000          1.098             87
        -98.000          1.137             99
        -99.000          1.127            100
        -74.000          1.101             75
        -77.000          1.138             78
        -73.000          1.122             74
       -115.000          1.168            116
       -102.000          1.175            103
        -77.000          1.178             78
        -92.000          1.184             93
        -87.000          1.198             88
       -108.000          1.204            109
        -91.000          1.192             92
        -81.000          1.138             82
        -90.000          1.146             91
        -96.000          1.209             97
        -83.000          1.250             84
       -182.000          1.244            183
        -95.000          1.274             96
        -69.000          1.312             70
       -116.000          1.248            117
       -109.000          1.262            110
        -90.000          1.232             91
        -92.000          1.260             93
       -112.000          1.248            113
       -115.000          1.303            116
       -118.000          1.239            119
       -106.000          1.259            107
        -80.000          1.273             81
        -90.000          1.310             91
        -75.000          1.318             76
        -84.000          1.286             85
        -79.000          1.324             80
       -103.000          1.282            104
        -90.000          1.339             91
        -77.000          1.334             78
        -88.000          1.313             89
        -91.000          1.298             92
       -113.000          1.299            114
       -253.000          1.348            254
        -71.000          1.383             72
        -85.000          1.424             86
        -85.000          1.434             86
        -79.000          1.338             80
        -77.000          1.443             78
       -163.000          1.420            164
        -80.000          1.419             81
        -74.000          1.468             75
        -87.000          1.401             88
        -94.000          1.477             95
        -91.000          1.438             92
       -102.000          1.448            103
        -75.000          1.404             76
       -100.000          1.508            101
        -87.000          1.517             88
        -91.000          1.461             92
        -77.000          1.526             78
       -107.000          1.511            108
        -75.000          1.459             76
        -97.000          1.440             98
        -78.000          1.524             79
        -70.000          1.500             71
        -80.000          1.480             81
        -96.000          1.560             97
       -109.000          1.493            110
        -74.000          1.471             75
        -91.000          1.523             92
        -69.000          1.418             70
        -72.000          1.462             73
        -98.000          1.531             99
        -98.000          1.537             99
        -94.000          1.489             95
        -77.000          1.533             78
        -94.000          1.547             95
        -88.000          1.586             89
        -97.000          1.497             98
        -71.000          1.561             72
        -80.000          1.541             81
       -154.000          1.610            155
        -82.000          1.567             83
        -92.000          1.524             93
        -95.000          1.577             96
       -147.000          1.593            148
       -115.000          1.657            116
        -91.000          1.555             92
        -76.000          1.604             77
        -82.000          1.554             83
       -119.000          1.576            120
        -63.000          1.630             64
        -80.000          1.607             81
        -83.000          1.632             84
       -115.000          1.594            116
        -85.000          1.580             86
        -98.000          1.590             99
       -114.000          1.609            115
        -97.000          1.605             98
        -89.000          1.526             90
        -83.000          1.530             84
        -83.000          1.530             84
        -81.000          1.496             82
        -89.000          1.507             90
        -80.000          1.458             81
        -84.000          1.407             85
        -75.000          1.482             76
        -98.000          1.446             99
        -70.000          1.449             71
        -88.000          1.470             89
        -95.000          1.435             96
        -82.000          1.392             83
        -82.000          1.400             83
       -177.000          1.370            178
        -63.000          1.379             64
        -78.000          1.383             79
        -80.000          1.350             81
        -92.000          1.374             93
        -94.000          1.412             95
        -63.000          1.331             64
        -99.000          1.376            100
        -85.000          1.351             86
        -91.000          1.353             92
        -89.000          1.300             90
        -71.000          1.333             72
        -85.000          1.335             86
        -93.000          1.332             94
       -100.000          1.330            101
       -114.000          1.337            115
        -85.000          1.297             86
        -87.000          1.352             88
        -69.000          1.369             70
        -84.000          1.314             85
        -83.000          1.314             84
        -88.000          1.293             89
        -75.000          1.256             76
       -128.000          1.330            129
        -83.000          1.324             84
        -73.000          1.265             74
        -72.000          1.303             73
       -104.000          1.279            105
        -76.000          1.283             77
       -112.000          1.285            113
        -95.000          1.243             96
        -99.000          1.266            100
        -93.000          1.270             94
        -90.000          1.228             91
        -72.000          1.251             73
       -126.000          1.244            127
        -76.000          1.216             77
        -63.000          1.233             64
       -126.000          1.247            127
        -88.000          1.235             89
        -62.000          1.190             63
        -65.000          1.189             66
        -78.000          1.178             79
        -78.000          1.149             79
        -85.000          1.230             86
        -82.000          1.229             83
        -75.000          1.203             76
        -71.000          1.254             72
        -79.000          1.159             80
       -119.000          1.199            120
        -82.000          1.182             83
        -83.000          1.215             84
        -85.000          1.185             86
        -96.000          1.163             97
        -92.000          1.151             93
       -120.000          1.182            121
       -109.000          1.162            110
        -98.000          1.187             99
        -75.000          1.192             76
       -188.000          1.150            189
        -71.000          1.212             72
        -99.000          1.194            100
        -81.000          1.173             82
        -98.000          1.172             99
       -128.000          1.188            129
        -63.000          1.148             64
        -90.000          1.174             91
        -92.000          1.180             93
        -78.000          1.197             79
        -82.000          1.157             83
        -87.000          1.179             88
        -83.000          1.195             84
        -91.000          1.150             92
       -170.000          1.172            171
        -85.000          1.226             86
        -95.000          1.181             96
        -80.000          1.238             81
        -90.000          1.202             91
        -76.000          1.180             77
        -95.000          1.192             96
        -98.000          1.227             99
       -120.000          1.225            121
        -79.000          1.204             80
        -72.000          1.203             73
        -82.000          1.238             83
       -115.000          1.195            116
        -84.000          1.232             85
        -75.000          1.247             76
        -97.000          1.221             98
        -79.000          1.204             80
        -96.000          1.242             97
        -85.000          1.245             86
        -93.000          1.266             94
        -74.000          1.270             75
        -82.000          1.240             83
        -62.000          1.192             63
        -68.000          1.247             69
        -81.000          1.230             82
        -84.000          1.234             85
       -107.000          1.265            108
        -75.000          1.256             76
        -83.000          1.216             84
        -90.000          1.278             91
       -150.000          1.238            151
        -73.000          1.276             74
        -86.000          1.277             87
       -112.000          1.256            113
        -98.000          1.266             99
        -91.000          1.217             92
       -115.000          1.270            116
        -75.000          1.272             76
        -88.000          1.263             89
       -106.000          1.244            107
        -63.000          1.239             64
        -85.000          1.252             86
        -62.000          1.260             63
        -90.000          1.220             91
        -94.000          1.227             95
        -91.000          1.252             92
       -104.000          1.210            105
       -102.000          1.210            103
        -76.000          1.246             77
       -110.000          1.235            111
        -91.000          1.201             92
        -76.000          1.181             77
        -83.000          1.197             84
        -76.000          1.183             77
        -70.000          1.177             71
        -88.000          1.136             89
        -76.000          1.196             77
       -110.000          1.156            111
        -92.000          1.198             93
        -93.000          1.162             94
        -88.000          1.161             89
        -86.000          1.171             87
        -89.000          1.135             90
        -95.000          1.154             96
        -63.000          1.149             64
       -100.000          1.123            101
        -88.000          1.116             89
        -62.000          1.120             63
        -93.000          1.138             94
       -102.000          1.104            103
        -71.000          1.167             72
        -76.000          1.151             77
        -74.000          1.117             75
        -69.000          1.158             70
        -89.000          1.084             90
        -87.000          1.106             88
        -92.000          1.099             93
        -62.000          1.072             63
        -70.000          1.114             71
        -74.000          1.090             75
        -73.000          1.110             74
       -100.000          1.111            101
        -96.000          1.043             97
        -86.000          1.043             87
       -129.000          1.090            130
        -76.000          1.043             77
        -62.000          1.016             63
        -85.000          1.052             86
        -92.000          1.068             93
        -81.000          1.022             82
        -92.000          1.059             93
        -73.000          1.058             74
        -89.000          1.070             90
        -63.000          1.041             64
        -72.000          0.980             73
        -89.000          1.044             90
        -62.000          0.983             63
       -104.000          1.023            105
        -86.000          1.030             87
        -74.000          1.015             75
        -85.000          0.970             86
       -110.000          0.964            111
        -78.000          0.956             79
        -74.000          0.987             75
        -82.000          0.970             83
        -70.000          0.988             71
        -69.000          0.941             70
        -88.000          0.981             89
        -87.000          0.979             88
        -84.000          0.915             85
        -61.000          0.925             62
        -83.000          0.962             84
       -258.000          0.961            259
        -83.000          0.978             84
        -89.000          0.940             90
        -70.000          0.954             71
        -71.000          0.950             72
        -62.000          1.006             63
       -108.000          1.004            109
        -78.000          1.013             79
       -104.000          1.005            105
       -122.000          0.974            123
        -92.000          0.995             93
        -74.000          1.017             75
        -75.000          1.017             76
        -78.000          1.039             79
        -87.000          1.026             88
       -101.000          0.961            102
        -69.000          1.040             70
        -92.000          0.991             93
        -71.000          1.032             72
        -95.000          1.004             96
        -89.000          1.031             90
       -101.000          1.008            102
        -74.000          1.014             75
        -68.000          0.999             69
        -84.000          1.008             85
        -76.000          1.026             77
        -90.000          1.023             91
        -63.000          1.058             64
        -85.000          1.079             86
        -69.000          1.058             70
        -79.000          1.006             80
        -72.000          1.005             73
        -87.000          1.023             88
        -76.000          1.034             77
        -75.000          0.963             76
        -94.000          0.984             95
        -81.000          1.014             82
        -76.000          1.047             77
        -97.000          0.993             98
        -92.000          0.993             93
        -82.000          1.002             83
