         Reward           Loss         Length
         24.000          0.000             24
         32.000          0.000             32
         14.000          0.000             14
         35.000          0.000             35
         19.000          0.000             19
         20.000          0.422             20
         46.000          0.136             46
         47.000          0.015             47
         24.000          0.006             24
         20.000          0.004             20
         35.000          0.005             35
         61.000          0.007             61
         34.000          0.010             34
         23.000          0.014             23
         26.000          0.017             26
         11.000          0.021             11
         26.000          0.024             26
         12.000          0.025             12
         15.000          0.026             15
         37.000          0.031             37
         19.000          0.038             19
         31.000          0.034             31
         15.000          0.042             15
         28.000          0.039             28
         12.000          0.046             12
         17.000          0.045             17
         23.000          0.049             23
         49.000          0.049             49
         38.000          0.054             38
         38.000          0.050             38
         30.000          0.055             30
         18.000          0.053             18
         47.000          0.063             47
         55.000          0.068             55
         41.000          0.083             41
         14.000          0.086             14
         17.000          0.078             17
         22.000          0.066             22
         49.000          0.086             49
         30.000          0.085             30
         33.000          0.084             33
         15.000          0.084             15
         33.000          0.099             33
         27.000          0.094             27
         44.000          0.100             44
         20.000          0.116             20
         32.000          0.113             32
         26.000          0.130             26
         25.000          0.121             25
         12.000          0.138             12
         36.000          0.140             36
         17.000          0.107             17
         26.000          0.131             26
         20.000          0.120             20
         35.000          0.134             35
         23.000          0.140             23
         19.000          0.120             19
         42.000          0.120             42
         30.000          0.136             30
         52.000          0.137             52
         11.000          0.131             11
        111.000          0.127            111
         41.000          0.135             41
         59.000          0.151             59
        219.000          0.150            219
        245.000          0.151            245
        265.000          0.158            265
        197.000          0.161            197
        264.000          0.160            264
        272.000          0.155            272
        229.000          0.159            229
        212.000          0.191            212
        213.000          0.187            213
        195.000          0.179            195
        222.000          0.182            222
        216.000          0.199            216
        220.000          0.176            220
        197.000          0.201            197
        203.000          0.202            203
        183.000          0.193            183
        188.000          0.199            188
        176.000          0.218            176
        179.000          0.217            179
        173.000          0.219            173
        167.000          0.231            167
        175.000          0.231            175
        171.000          0.223            171
        200.000          0.224            200
        220.000          0.231            220
        170.000          0.223            170
        208.000          0.247            208
        128.000          0.262            128
        209.000          0.236            209
        128.000          0.236            128
        109.000          0.245            109
        106.000          0.251            106
        115.000          0.244            115
        119.000          0.243            119
        126.000          0.281            126
         39.000          0.233             39
        105.000          0.251            105
         95.000          0.251             95
        103.000          0.264            103
        105.000          0.251            105
        107.000          0.231            107
        109.000          0.266            109
        102.000          0.299            102
        117.000          0.302            117
         95.000          0.253             95
        102.000          0.246            102
        105.000          0.252            105
        103.000          0.243            103
        103.000          0.302            103
        110.000          0.281            110
        108.000          0.260            108
        110.000          0.249            110
        111.000          0.224            111
        106.000          0.222            106
        105.000          0.219            105
        102.000          0.209            102
        109.000          0.215            109
        107.000          0.191            107
        106.000          0.222            106
        111.000          0.197            111
        126.000          0.180            126
        104.000          0.165            104
        112.000          0.188            112
        114.000          0.203            114
        131.000          0.153            131
        123.000          0.170            123
        110.000          0.141            110
        125.000          0.156            125
        131.000          0.134            131
        120.000          0.118            120
        132.000          0.136            132
        128.000          0.126            128
        134.000          0.155            134
        126.000          0.127            126
        135.000          0.128            135
        140.000          0.144            140
        132.000          0.130            132
        141.000          0.136            141
        126.000          0.104            126
        133.000          0.102            133
        126.000          0.116            126
        130.000          0.125            130
        124.000          0.104            124
        120.000          0.105            120
        124.000          0.104            124
        130.000          0.091            130
        138.000          0.078            138
        126.000          0.085            126
        131.000          0.070            131
        129.000          0.093            129
        128.000          0.063            128
        120.000          0.058            120
        136.000          0.082            136
        127.000          0.051            127
        129.000          0.077            129
        123.000          0.066            123
        136.000          0.055            136
        119.000          0.048            119
        140.000          0.054            140
        120.000          0.038            120
        141.000          0.040            141
        125.000          0.055            125
        137.000          0.050            137
        127.000          0.042            127
        126.000          0.042            126
        127.000          0.042            127
        134.000          0.052            134
        126.000          0.054            126
        120.000          0.041            120
        128.000          0.052            128
        124.000          0.042            124
        124.000          0.052            124
        121.000          0.066            121
        120.000          0.059            120
        134.000          0.048            134
        125.000          0.059            125
        117.000          0.051            117
        122.000          0.053            122
        119.000          0.046            119
        125.000          0.051            125
        122.000          0.048            122
        120.000          0.045            120
        114.000          0.044            114
        135.000          0.044            135
        118.000          0.038            118
        132.000          0.041            132
        115.000          0.039            115
        124.000          0.039            124
        124.000          0.036            124
        139.000          0.049            139
        133.000          0.047            133
        139.000          0.046            139
        142.000          0.052            142
        146.000          0.041            146
        143.000          0.052            143
        167.000          0.054            167
        160.000          0.046            160
        116.000          0.040            116
        144.000          0.061            144
        163.000          0.050            163
        137.000          0.054            137
        141.000          0.065            141
        176.000          0.059            176
        165.000          0.069            165
        163.000          0.066            163
        149.000          0.069            149
        162.000          0.063            162
        119.000          0.058            119
        162.000          0.063            162
        162.000          0.073            162
        149.000          0.071            149
        149.000          0.067            149
        162.000          0.065            162
        161.000          0.078            161
        153.000          0.071            153
        157.000          0.071            157
        166.000          0.075            166
        169.000          0.063            169
        168.000          0.083            168
        169.000          0.074            169
        177.000          0.071            177
        176.000          0.083            176
        196.000          0.076            196
        180.000          0.085            180
        196.000          0.086            196
        189.000          0.083            189
        206.000          0.078            206
        213.000          0.070            213
        229.000          0.072            229
        230.000          0.078            230
        258.000          0.079            258
        312.000          0.075            312
        271.000          0.081            271
        315.000          0.076            315
        385.000          0.073            385
        463.000          0.071            463
        500.000          0.076            500
        500.000          0.069            500
        500.000          0.069            500
        160.000          0.063            160
        347.000          0.062            347
        214.000          0.066            214
        290.000          0.070            290
        257.000          0.061            257
        326.000          0.067            326
        492.000          0.059            492
        305.000          0.055            305
        452.000          0.057            452
        500.000          0.052            500
        496.000          0.049            496
        410.000          0.040            410
        373.000          0.046            373
        344.000          0.037            344
        374.000          0.029            374
        373.000          0.033            373
        392.000          0.033            392
        459.000          0.025            459
        439.000          0.018            439
        494.000          0.022            494
        228.000          0.016            228
        188.000          0.011            188
        500.000          0.011            500
        233.000          0.010            233
        500.000          0.010            500
        500.000          0.012            500
        500.000          0.012            500
        500.000          0.012            500
        500.000          0.012            500
        500.000          0.012            500
        500.000          0.014            500
        500.000          0.013            500
        500.000          0.011            500
        500.000          0.010            500
        500.000          0.013            500
        500.000          0.012            500
        500.000          0.012            500
        500.000          0.012            500
        500.000          0.008            500
        500.000          0.006            500
        500.000          0.006            500
        500.000          0.005            500
        500.000          0.004            500
        500.000          0.002            500
        500.000          0.001            500
        500.000          0.001            500
        500.000          0.001            500
        500.000          0.001            500
        500.000          0.001            500
        500.000          0.001            500
        500.000          0.001            500
        500.000          0.001            500
        500.000          0.001            500
        500.000          0.001            500
        500.000          0.001            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.001            500
        500.000          0.001            500
        500.000          0.001            500
        500.000          0.001            500
        500.000          0.001            500
        500.000          0.001            500
        500.000          0.001            500
        500.000          0.001            500
        500.000          0.001            500
        500.000          0.001            500
        500.000          0.001            500
        500.000          0.001            500
        500.000          0.001            500
        500.000          0.001            500
        500.000          0.001            500
        500.000          0.001            500
        500.000          0.001            500
        500.000          0.001            500
        500.000          0.001            500
        500.000          0.001            500
        500.000          0.001            500
        500.000          0.001            500
        500.000          0.001            500
        500.000          0.001            500
        500.000          0.001            500
        500.000          0.001            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
