         Reward           Loss         Length
         24.000          0.000             24
         32.000          0.000             32
         14.000          0.000             14
         35.000          0.000             35
         19.000          0.000             19
         20.000          0.422             20
         46.000          0.138             46
         47.000          0.013             47
         24.000          0.006             24
         20.000          0.005             20
         35.000          0.005             35
         38.000          0.007             38
         10.000          0.009             10
         10.000          0.009             10
         22.000          0.011             22
         19.000          0.014             19
         12.000          0.019             12
         10.000          0.015             10
         15.000          0.023             15
         12.000          0.025             12
         13.000          0.023             13
         16.000          0.024             16
         21.000          0.032             21
         27.000          0.031             27
         18.000          0.034             18
         13.000          0.044             13
         30.000          0.044             30
         17.000          0.047             17
         16.000          0.051             16
         21.000          0.044             21
         20.000          0.063             20
         31.000          0.056             31
         19.000          0.062             19
         13.000          0.065             13
         12.000          0.064             12
         15.000          0.071             15
         11.000          0.068             11
         12.000          0.086             12
         22.000          0.079             22
         22.000          0.079             22
         28.000          0.074             28
         16.000          0.075             16
         12.000          0.077             12
         16.000          0.072             16
         15.000          0.084             15
         31.000          0.079             31
         61.000          0.090             61
          9.000          0.076              9
         25.000          0.091             25
         15.000          0.080             15
         32.000          0.084             32
         40.000          0.101             40
         53.000          0.091             53
         12.000          0.111             12
         26.000          0.103             26
         30.000          0.108             30
         13.000          0.108             13
         38.000          0.105             38
         24.000          0.136             24
         25.000          0.118             25
         26.000          0.113             26
         15.000          0.140             15
         12.000          0.132             12
         14.000          0.123             14
         46.000          0.135             46
         46.000          0.140             46
         24.000          0.118             24
         30.000          0.136             30
         57.000          0.135             57
         28.000          0.145             28
         12.000          0.129             12
         73.000          0.136             73
         34.000          0.153             34
         10.000          0.130             10
         74.000          0.148             74
         50.000          0.159             50
         56.000          0.152             56
         35.000          0.151             35
        134.000          0.146            134
        220.000          0.135            220
         68.000          0.132             68
        241.000          0.146            241
        300.000          0.155            300
        193.000          0.149            193
        226.000          0.156            226
        156.000          0.152            156
        216.000          0.160            216
        362.000          0.163            362
        460.000          0.170            460
        163.000          0.169            163
        306.000          0.160            306
        191.000          0.190            191
        164.000          0.191            164
        155.000          0.183            155
        185.000          0.165            185
        233.000          0.192            233
        168.000          0.185            168
        163.000          0.171            163
        160.000          0.219            160
        310.000          0.200            310
        229.000          0.218            229
        181.000          0.197            181
        209.000          0.202            209
        233.000          0.213            233
        189.000          0.193            189
        167.000          0.201            167
        202.000          0.185            202
        163.000          0.175            163
        207.000          0.213            207
        173.000          0.194            173
        180.000          0.212            180
        209.000          0.189            209
        205.000          0.199            205
        173.000          0.230            173
        174.000          0.197            174
        181.000          0.202            181
        186.000          0.203            186
        200.000          0.193            200
        196.000          0.180            196
        197.000          0.162            197
        176.000          0.128            176
        221.000          0.142            221
        228.000          0.120            228
        237.000          0.104            237
        178.000          0.108            178
        221.000          0.079            221
        248.000          0.077            248
        375.000          0.067            375
        192.000          0.059            192
        243.000          0.043            243
        340.000          0.041            340
        215.000          0.039            215
        262.000          0.034            262
        356.000          0.027            356
        151.000          0.021            151
        170.000          0.023            170
        322.000          0.020            322
        137.000          0.027            137
        234.000          0.022            234
        229.000          0.029            229
        149.000          0.025            149
        249.000          0.028            249
        161.000          0.027            161
        323.000          0.024            323
        198.000          0.021            198
        281.000          0.020            281
        268.000          0.021            268
        207.000          0.028            207
        319.000          0.021            319
        466.000          0.016            466
        400.000          0.016            400
        314.000          0.013            314
        281.000          0.013            281
        283.000          0.012            283
        215.000          0.011            215
        208.000          0.010            208
        317.000          0.013            317
        252.000          0.012            252
        242.000          0.014            242
        196.000          0.014            196
        239.000          0.019            239
        189.000          0.015            189
        277.000          0.018            277
        194.000          0.014            194
        280.000          0.018            280
        238.000          0.017            238
        304.000          0.016            304
        237.000          0.016            237
        351.000          0.015            351
        215.000          0.014            215
        223.000          0.014            223
        222.000          0.014            222
        176.000          0.017            176
        163.000          0.019            163
        180.000          0.015            180
        211.000          0.015            211
        217.000          0.013            217
        242.000          0.015            242
        184.000          0.017            184
        202.000          0.017            202
        297.000          0.017            297
        455.000          0.017            455
        484.000          0.017            484
        418.000          0.016            418
        500.000          0.015            500
        499.000          0.017            499
        377.000          0.017            377
        325.000          0.021            325
        303.000          0.021            303
        500.000          0.020            500
        434.000          0.020            434
        500.000          0.016            500
        264.000          0.014            264
        284.000          0.014            284
        369.000          0.014            369
        306.000          0.012            306
        272.000          0.012            272
        305.000          0.010            305
        269.000          0.009            269
        257.000          0.008            257
        473.000          0.008            473
        300.000          0.006            300
        298.000          0.005            298
        355.000          0.004            355
        362.000          0.004            362
        500.000          0.004            500
        475.000          0.004            475
        500.000          0.003            500
        500.000          0.003            500
        500.000          0.003            500
        500.000          0.003            500
        500.000          0.003            500
        500.000          0.002            500
        500.000          0.002            500
        500.000          0.002            500
        500.000          0.002            500
        500.000          0.002            500
        500.000          0.002            500
        500.000          0.002            500
        500.000          0.001            500
        500.000          0.001            500
        500.000          0.001            500
        500.000          0.001            500
        500.000          0.001            500
        500.000          0.001            500
        500.000          0.001            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.001            500
        470.000          0.001            470
        500.000          0.003            500
        500.000          0.002            500
        443.000          0.004            443
        500.000          0.007            500
        500.000          0.005            500
        500.000          0.012            500
        500.000          0.005            500
        500.000          0.008            500
        500.000          0.013            500
        500.000          0.008            500
        500.000          0.007            500
        500.000          0.007            500
        500.000          0.009            500
        500.000          0.009            500
        500.000          0.009            500
        500.000          0.010            500
        500.000          0.012            500
        500.000          0.008            500
        500.000          0.004            500
        500.000          0.005            500
        500.000          0.006            500
        500.000          0.003            500
        500.000          0.003            500
        500.000          0.001            500
        500.000          0.001            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        390.000          0.000            390
        500.000          0.003            500
        500.000          0.005            500
        500.000          0.006            500
        500.000          0.003            500
        500.000          0.002            500
        500.000          0.003            500
        500.000          0.004            500
        500.000          0.004            500
        500.000          0.003            500
        500.000          0.007            500
        500.000          0.002            500
        500.000          0.004            500
        500.000          0.002            500
        500.000          0.003            500
        500.000          0.003            500
        500.000          0.005            500
        500.000          0.004            500
        500.000          0.004            500
        500.000          0.004            500
        500.000          0.007            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
        500.000          0.000            500
