         Reward           Loss         Length
         24.000          0.000             24
         32.000          0.000             32
         14.000          0.000             14
         35.000          0.000             35
         19.000          0.000             19
         20.000          2.399             20
         46.000          1.898             46
         51.000          0.658             51
         31.000          0.131             31
         69.000          0.069             69
         15.000          0.051             15
         11.000          0.056             11
         10.000          0.053             10
         26.000          0.061             26
         10.000          0.063             10
         13.000          0.086             13
          9.000          0.086              9
         19.000          0.086             19
         10.000          0.100             10
         12.000          0.118             12
         15.000          0.120             15
         18.000          0.127             18
         27.000          0.138             27
         24.000          0.157             24
         15.000          0.184             15
         11.000          0.175             11
