         Reward           Loss         Length
         34.000          0.000             34
         24.000          0.000             24
         21.000          0.000             21
         11.000          0.000             11
         16.000          0.000             16
         34.000          3.976             34
         16.000          3.787             16
         21.000          3.486             21
         23.000          3.024             23
         40.000          2.105             40
         27.000          1.023             27
         36.000          0.656             36
         40.000          0.555             40
         23.000          0.543             23
         18.000          0.559             18
         12.000          0.562             12
         13.000          0.631             13
         14.000          0.624             14
         34.000          0.656             34
         78.000          0.632             78
         17.000          0.691             17
        105.000          0.777            105
         35.000          0.841             35
         18.000          0.975             18
         34.000          1.005             34
         43.000          1.107             43
         41.000          1.244             41
         58.000          1.349             58
         25.000          1.382             25
        124.000          1.491            124
        105.000          1.715            105
        128.000          1.818            128
         29.000          1.974             29
        127.000          2.033            127
         69.000          2.184             69
        158.000          2.211            158
         98.000          2.441             98
        166.000          2.699            166
        226.000          2.811            226
        197.000          2.946            197
        186.000          3.054            186
        188.000          3.061            188
        151.000          3.202            151
        182.000          3.289            182
        191.000          3.366            191
        169.000          3.562            169
        216.000          3.584            216
        207.000          3.633            207
        174.000          3.679            174
        215.000          3.553            215
        187.000          3.656            187
        177.000          3.556            177
        192.000          3.543            192
        185.000          3.545            185
        214.000          3.617            214
        217.000          3.448            217
        169.000          3.436            169
        208.000          3.374            208
        191.000          3.305            191
        180.000          3.269            180
        186.000          3.177            186
        201.000          3.075            201
        219.000          3.006            219
        216.000          2.947            216
        199.000          2.739            199
        250.000          2.622            250
        202.000          2.458            202
        187.000          2.571            187
        236.000          2.396            236
        223.000          2.435            223
        196.000          2.504            196
        188.000          2.481            188
        186.000          2.352            186
        209.000          2.404            209
        206.000          2.399            206
        226.000          2.331            226
        235.000          2.328            235
        223.000          2.332            223
        215.000          2.283            215
        206.000          1.919            206
        221.000          1.551            221
        242.000          1.284            242
        272.000          0.992            272
        263.000          0.822            263
        268.000          0.702            268
        342.000          0.538            342
        499.000          0.397            499
        500.000          0.301            500
        500.000          0.256            500
        500.000          0.264            500
        450.000          0.272            450
        500.000          0.274            500
        500.000          0.292            500
        500.000          0.325            500
        500.000          0.335            500
        500.000          0.330            500
