         Reward           Loss         Length
         18.000          0.000             18
         36.000          0.000             36
         24.000          0.000             24
         82.000          0.362             82
         17.000          0.194             17
         54.000          0.244             54
         16.000          0.151             16
         12.000          0.089             12
         17.000          0.062             17
         23.000          0.046             23
         39.000          0.035             39
         14.000          0.028             14
         14.000          0.019             14
         20.000          0.025             20
         16.000          0.019             16
         10.000          0.424             10
         14.000          0.240             14
         11.000          0.160             11
         12.000          0.080             12
         26.000          0.104             26
         18.000          0.067             18
         22.000          0.064             22
         10.000          0.100             10
         14.000          0.074             14
          9.000          0.070              9
         10.000          0.048             10
         12.000          0.087             12
         20.000          0.084             20
         17.000          0.201             17
         16.000          0.300             16
         19.000          0.160             19
         19.000          0.139             19
         11.000          0.143             11
         13.000          0.090             13
          9.000          0.092              9
         13.000          0.133             13
         19.000          0.117             19
          8.000          0.067              8
         18.000          0.100             18
         16.000          0.104             16
         17.000          0.099             17
         30.000          0.287             30
         15.000          0.250             15
         11.000          0.159             11
         17.000          0.120             17
         10.000          0.206             10
         33.000          0.175             33
         11.000          0.197             11
         12.000          0.192             12
         14.000          0.227             14
         10.000          0.174             10
         11.000          0.156             11
         11.000          0.218             11
         11.000          0.144             11
          8.000          0.244              8
         19.000          0.356             19
         13.000          0.354             13
         18.000          0.270             18
         12.000          0.221             12
          8.000          0.230              8
         18.000          0.266             18
         13.000          0.239             13
         13.000          0.201             13
         14.000          0.237             14
         11.000          0.221             11
          9.000          0.264              9
         14.000          0.155             14
         35.000          0.198             35
         10.000          0.258             10
         11.000          0.450             11
         11.000          0.381             11
          9.000          0.280              9
         14.000          0.288             14
         12.000          0.320             12
         12.000          0.341             12
         17.000          0.216             17
         12.000          0.279             12
         14.000          0.260             14
          9.000          0.252              9
          9.000          0.374              9
         12.000          0.182             12
         12.000          0.288             12
         13.000          0.144             13
         10.000          0.373             10
         12.000          0.182             12
         12.000          0.321             12
         10.000          0.507             10
         11.000          0.454             11
         17.000          0.412             17
         10.000          0.339             10
         12.000          0.368             12
         13.000          0.347             13
         11.000          0.290             11
         11.000          0.297             11
          9.000          0.349              9
         17.000          0.293             17
         10.000          0.392             10
         10.000          0.312             10
         16.000          0.345             16
         10.000          0.401             10
         15.000          0.442             15
          9.000          0.271              9
          9.000          0.298              9
         10.000          0.733             10
         17.000          0.487             17
         13.000          0.391             13
         13.000          0.429             13
          9.000          0.436              9
         13.000          0.412             13
         22.000          0.422             22
          9.000          0.510              9
         10.000          0.320             10
         10.000          0.365             10
         14.000          0.327             14
         13.000          0.406             13
          9.000          0.432              9
         10.000          0.346             10
         10.000          0.350             10
         11.000          0.432             11
         13.000          0.295             13
         11.000          0.819             11
         10.000          0.512             10
         12.000          0.396             12
         12.000          0.434             12
         12.000          0.413             12
         11.000          0.440             11
         17.000          0.455             17
         15.000          0.435             15
         14.000          0.467             14
         12.000          0.543             12
         13.000          0.314             13
         12.000          0.451             12
         11.000          0.470             11
         15.000          0.523             15
         13.000          0.408             13
         16.000          0.530             16
         24.000          0.528             24
         20.000          0.663             20
         13.000          0.402             13
         19.000          0.640             19
         12.000          0.560             12
         30.000          0.482             30
         14.000          0.547             14
         53.000          0.539             53
         18.000          0.631             18
         15.000          0.644             15
         24.000          0.488             24
         22.000          0.577             22
         49.000          0.608             49
         35.000          0.550             35
         80.000          0.537             80
         85.000          0.561             85
        248.000          0.552            248
        126.000          0.558            126
        333.000          0.513            333
        230.000          0.625            230
         99.000          0.533             99
        143.000          0.531            143
        178.000          0.555            178
        190.000          0.540            190
        160.000          0.638            160
        130.000          0.566            130
        145.000          0.698            145
        127.000          0.588            127
        128.000          0.523            128
        137.000          0.613            137
        144.000          0.717            144
        126.000          0.630            126
        135.000          0.644            135
        146.000          0.554            146
        147.000          0.599            147
        122.000          0.671            122
        145.000          0.666            145
        134.000          0.592            134
        167.000          0.687            167
        139.000          0.716            139
        168.000          0.686            168
        154.000          0.616            154
        150.000          0.702            150
        177.000          0.647            177
        157.000          0.671            157
        168.000          0.618            168
        139.000          0.696            139
        178.000          0.772            178
        184.000          0.671            184
        176.000          0.692            176
        238.000          0.676            238
        170.000          0.692            170
        186.000          0.570            186
        182.000          0.718            182
        237.000          0.674            237
        230.000          0.703            230
        271.000          0.645            271
        169.000          0.547            169
        134.000          0.781            134
        208.000          0.722            208
        120.000          0.723            120
        116.000          0.704            116
        173.000          0.647            173
        302.000          0.684            302
        270.000          0.564            270
        125.000          0.634            125
        163.000          0.537            163
        151.000          0.481            151
        155.000          0.456            155
        115.000          0.356            115
        116.000          0.376            116
        155.000          0.384            155
        137.000          0.319            137
        341.000          0.283            341
        183.000          0.278            183
        202.000          0.273            202
        232.000          0.218            232
        199.000          0.240            199
        161.000          0.280            161
        234.000          0.271            234
        189.000          0.311            189
        256.000          0.305            256
        235.000          0.223            235
        188.000          0.328            188
        193.000          0.211            193
        173.000          0.298            173
        169.000          0.216            169
        181.000          0.226            181
        165.000          0.222            165
        191.000          0.264            191
        214.000          0.275            214
        152.000          0.227            152
        165.000          0.290            165
        170.000          0.260            170
        169.000          0.303            169
        163.000          0.391            163
        174.000          0.283            174
        150.000          0.350            150
        169.000          0.235            169
        157.000          0.303            157
        246.000          0.263            246
        159.000          0.277            159
        208.000          0.328            208
        166.000          0.265            166
        158.000          0.383            158
        170.000          0.328            170
        153.000          0.179            153
        225.000          0.217            225
        152.000          0.291            152
        157.000          0.252            157
        177.000          0.321            177
        207.000          0.279            207
        159.000          0.242            159
        239.000          0.242            239
        150.000          0.289            150
        164.000          0.338            164
        191.000          0.241            191
