         Reward           Loss         Length
          9.000          0.000              9
         35.000          0.000             35
         15.000          0.000             15
         26.000          0.000             26
         11.000          0.000             11
         20.000          0.000             20
         14.000          0.527             14
         13.000          0.437             13
         30.000          0.222             30
         20.000          0.058             20
         21.000          0.023             21
         31.000          0.014             31
         15.000          0.010             15
         12.000          0.009             12
         14.000          0.010             14
         12.000          0.010             12
         11.000          0.009             11
         18.000          0.011             18
         10.000          0.010             10
         22.000          0.014             22
         34.000          0.015             34
         30.000          0.020             30
         10.000          0.019             10
         11.000          0.026             11
         10.000          0.025             10
         14.000          0.026             14
         13.000          0.027             13
         11.000          0.030             11
         13.000          0.036             13
         30.000          0.035             30
         11.000          0.039             11
         11.000          0.043             11
         22.000          0.040             22
         29.000          0.044             29
         44.000          0.051             44
         13.000          0.050             13
         11.000          0.049             11
         10.000          0.053             10
         16.000          0.054             16
         12.000          0.056             12
         22.000          0.064             22
         24.000          0.062             24
         13.000          0.068             13
         25.000          0.062             25
         40.000          0.068             40
         13.000          0.078             13
         23.000          0.089             23
         20.000          0.065             20
         11.000          0.079             11
         12.000          0.092             12
         25.000          0.078             25
         72.000          0.085             72
         12.000          0.110             12
         71.000          0.090             71
         75.000          0.107             75
         16.000          0.098             16
         18.000          0.095             18
         47.000          0.114             47
         94.000          0.117             94
         94.000          0.126             94
         39.000          0.116             39
         16.000          0.117             16
