         Reward           Loss         Qvalue     Mean_Max_Q         Length
        -20.000          0.000          0.000          0.000            947
        -18.000          0.015         -0.008          0.034           1181
        -20.000          0.000          0.000          0.000            930
        -21.000          0.001         -0.008          0.035            878
        -20.000          0.000          0.000          0.000            997
        -21.000          0.000          0.000          0.000            793
        -20.000          0.000          0.000          0.000           1008
        -21.000          0.000          0.000          0.000            820
        -19.000          0.016          0.002          0.036           1126
        -20.000          0.030         -0.001          0.036            920
        -18.000          0.012          0.000          0.017           1208
        -20.000          0.010         -0.012         -0.002           1024
        -21.000          0.011         -0.008          0.001            921
        -21.000          0.013         -0.004          0.007            884
        -20.000          0.011         -0.036         -0.022            888
        -21.000          0.009         -0.039         -0.032            853
        -19.000          0.010         -0.042         -0.033            999
        -19.000          0.012         -0.043         -0.031            937
        -19.000          0.011         -0.006          0.006           1013
        -21.000          0.011         -0.018         -0.013           1024
        -21.000          0.011         -0.021         -0.010           1048
        -21.000          0.012         -0.052         -0.044            824
        -20.000          0.010         -0.055         -0.047           1010
        -19.000          0.010         -0.044         -0.036           1043
        -21.000          0.011         -0.050         -0.045            783
        -21.000          0.011         -0.047         -0.040            783
        -21.000          0.012         -0.051         -0.046            926
        -21.000          0.010         -0.048         -0.041            897
        -21.000          0.011         -0.047         -0.038            913
        -21.000          0.011         -0.048         -0.038            878
        -21.000          0.011         -0.052         -0.046            878
        -20.000          0.012         -0.056         -0.048           1088
        -20.000          0.012         -0.064         -0.059            985
        -21.000          0.010         -0.062         -0.055            885
        -20.000          0.014         -0.073         -0.068            841
        -21.000          0.011         -0.071         -0.066           1061
        -21.000          0.009         -0.062         -0.056            884
        -20.000          0.011         -0.070         -0.062            920
        -21.000          0.011         -0.066         -0.061            791
        -20.000          0.012         -0.071         -0.065           1030
        -20.000          0.012         -0.070         -0.064            961
        -20.000          0.012         -0.066         -0.059           1010
        -20.000          0.011         -0.083         -0.076            931
        -21.000          0.011         -0.090         -0.080            792
        -21.000          0.010         -0.089         -0.084            901
        -20.000          0.011         -0.094         -0.088            915
        -21.000          0.011         -0.093         -0.086            911
        -20.000          0.011         -0.093         -0.088           1025
        -20.000          0.013         -0.092         -0.085            882
        -21.000          0.012         -0.091         -0.085            762
        -21.000          0.013         -0.095         -0.089            781
        -21.000          0.012         -0.090         -0.081            833
        -21.000          0.012         -0.091         -0.081            945
        -19.000          0.010         -0.095         -0.089           1035
        -19.000          0.010         -0.108         -0.102           1132
        -21.000          0.011         -0.114         -0.105            883
        -21.000          0.011         -0.116         -0.111            870
        -19.000          0.011         -0.116         -0.110            936
        -19.000          0.011         -0.113         -0.107            999
        -21.000          0.012         -0.115         -0.109            764
        -20.000          0.013         -0.118         -0.110            930
        -20.000          0.013         -0.121         -0.113            930
        -21.000          0.010         -0.117         -0.110            913
        -19.000          0.012         -0.118         -0.111           1122
        -21.000          0.012         -0.126         -0.119            762
        -21.000          0.010         -0.133         -0.126            851
        -21.000          0.012         -0.137         -0.129            852
        -20.000          0.013         -0.131         -0.125            919
        -19.000          0.011         -0.134         -0.128            995
        -20.000          0.013         -0.136         -0.130            841
        -21.000          0.011         -0.135         -0.127            782
        -19.000          0.013         -0.136         -0.129            945
        -20.000          0.012         -0.137         -0.131            930
        -18.000          0.012         -0.135         -0.129           1197
        -20.000          0.011         -0.134         -0.128            870
        -21.000          0.011         -0.149         -0.141            824
        -21.000          0.011         -0.153         -0.146            936
        -21.000          0.011         -0.153         -0.147            901
        -21.000          0.010         -0.154         -0.147            823
        -19.000          0.012         -0.154         -0.146           1020
        -21.000          0.011         -0.155         -0.151            904
        -21.000          0.011         -0.151         -0.145            850
        -21.000          0.012         -0.156         -0.148            943
        -18.000          0.012         -0.156         -0.149           1307
        -21.000          0.011         -0.154         -0.147            823
        -20.000          0.011         -0.155         -0.147            904
        -21.000          0.011         -0.169         -0.161            847
        -18.000          0.010         -0.168         -0.162           1121
        -21.000          0.010         -0.173         -0.167            781
        -20.000          0.012         -0.173         -0.166           1013
        -21.000          0.009         -0.170         -0.166            822
        -20.000          0.010         -0.172         -0.167            902
        -21.000          0.012         -0.174         -0.167            823
        -21.000          0.013         -0.172         -0.163            824
        -19.000          0.012         -0.172         -0.165            997
        -21.000          0.010         -0.170         -0.164            819
        -19.000          0.011         -0.170         -0.166           1081
        -21.000          0.012         -0.192         -0.185            790
        -20.000          0.012         -0.188         -0.182           1118
        -21.000          0.012         -0.187         -0.181            808
        -20.000          0.012         -0.188         -0.179            841
        -20.000          0.011         -0.185         -0.179            902
        -19.000          0.012         -0.190         -0.183           1115
        -21.000          0.011         -0.183         -0.176            764
        -20.000          0.011         -0.187         -0.178            887
