 Episode    Step   Epsilon     MeanReward     MeanLength       MeanLoss     MeanQValue      TimeDelta                Time
       5    5000     0.995        -20.800        908.400          0.000          0.000          0.000          9.776 2025-12-07T11:30:23
      10   10000     0.990        -20.400        959.700          0.002         -0.000          0.011          9.722 2025-12-07T11:30:32
      15   15000     0.985        -20.533        940.933          0.005         -0.002          0.010         51.006 2025-12-07T11:31:23
      21   20000     0.980        -20.524        945.095          0.007         -0.000          0.011         55.296 2025-12-07T11:32:19
      27   25000     0.975        -20.556        921.333          0.008         -0.010          0.001         56.041 2025-12-07T11:33:15
      32   30000     0.970        -20.562        918.656          0.008         -0.016         -0.006         56.107 2025-12-07T11:34:11
      38   35000     0.965        -20.605        916.500          0.009         -0.023         -0.014         56.567 2025-12-07T11:35:07
      43   40000     0.960        -20.581        912.302          0.009         -0.028         -0.019         56.816 2025-12-07T11:36:04
      49   45000     0.955        -20.510        915.776          0.009         -0.035         -0.025         57.783 2025-12-07T11:37:02
      54   50000     0.951        -20.481        912.500          0.009         -0.039         -0.030         58.148 2025-12-07T11:38:00
      60   55000     0.946        -20.433        915.650          0.009         -0.045         -0.035         55.492 2025-12-07T11:38:56
      65   60000     0.941        -20.431        913.862          0.009         -0.049         -0.039         55.492 2025-12-07T11:39:51
      71   65000     0.936        -20.423        914.324          0.009         -0.054         -0.044         56.144 2025-12-07T11:40:47
      76   70000     0.931        -20.382        918.618          0.008         -0.058         -0.047         56.386 2025-12-07T11:41:44
      81   75000     0.926        -20.333        919.272          0.008         -0.062         -0.052         58.607 2025-12-07T11:42:42
      86   80000     0.921        -20.326        921.872          0.008         -0.066         -0.056         57.455 2025-12-07T11:43:40
      92   85000     0.916        -20.337        923.435          0.008         -0.071         -0.061         55.554 2025-12-07T11:44:35
      97   90000     0.911        -20.320        921.742          0.007         -0.075         -0.066         56.769 2025-12-07T11:45:32
     102   95000     0.906        -20.320        921.200          0.007         -0.082         -0.072         55.625 2025-12-07T11:46:28
     108  100000     0.901        -20.330        918.700          0.008         -0.093         -0.083         53.316 2025-12-07T11:47:21
     114  105000     0.896        -20.330        914.220          0.007         -0.104         -0.095         53.054 2025-12-07T11:48:14
     119  110000     0.891        -20.270        920.430          0.007         -0.115         -0.105         53.459 2025-12-07T11:49:08
     125  115000     0.886        -20.290        916.100          0.007         -0.125         -0.116         53.233 2025-12-07T11:50:01
     130  120000     0.881        -20.250        918.130          0.006         -0.133         -0.124         53.291 2025-12-07T11:50:54
     136  125000     0.876        -20.260        913.680          0.006         -0.143         -0.134         54.406 2025-12-07T11:51:48
     142  130000     0.871        -20.260        910.840          0.005         -0.154         -0.144         53.670 2025-12-07T11:52:42
     148  135000     0.866        -20.280        908.820          0.005         -0.163         -0.154         52.824 2025-12-07T11:53:35
     153  140000     0.861        -20.240        914.980          0.005         -0.170         -0.162         53.052 2025-12-07T11:54:28
     158  145000     0.856        -20.280        913.050          0.004         -0.179         -0.170         53.063 2025-12-07T11:55:21
     164  150000     0.852        -20.280        913.790          0.004         -0.188         -0.180         53.173 2025-12-07T11:56:14
     169  155000     0.847        -20.250        914.830          0.004         -0.197         -0.189         54.717 2025-12-07T11:57:09
     175  160000     0.842        -20.310        910.200          0.004         -0.208         -0.200         52.931 2025-12-07T11:58:02
     180  165000     0.837        -20.330        909.860          0.004         -0.216         -0.209         53.158 2025-12-07T11:58:55
     185  170000     0.832        -20.320        908.270          0.004         -0.225         -0.218         52.886 2025-12-07T11:59:48
     191  175000     0.827        -20.360        906.620          0.004         -0.236         -0.228         52.974 2025-12-07T12:00:41
     197  180000     0.822        -20.390        905.060          0.004         -0.246         -0.239         52.865 2025-12-07T12:01:34
     203  185000     0.817        -20.430        898.610          0.004         -0.255         -0.248         52.589 2025-12-07T12:02:26
     208  190000     0.812        -20.420        898.650          0.004         -0.263         -0.256         52.769 2025-12-07T12:03:19
     214  195000     0.807        -20.410        900.310          0.004         -0.273         -0.266         52.726 2025-12-07T12:04:12
     219  200000     0.802        -20.440        895.560          0.004         -0.282         -0.275         52.712 2025-12-07T12:05:05
     225  205000     0.797        -20.400        899.560          0.004         -0.293         -0.286         52.980 2025-12-07T12:05:58
     230  210000     0.792        -20.440        899.220          0.004         -0.302         -0.295         52.853 2025-12-07T12:06:50
     236  215000     0.787        -20.430        900.460          0.004         -0.311         -0.304         52.889 2025-12-07T12:07:43
     242  220000     0.782        -20.460        898.570          0.004         -0.321         -0.314         53.073 2025-12-07T12:08:36
     248  225000     0.777        -20.450        897.530          0.003         -0.332         -0.325         52.941 2025-12-07T12:09:29
     253  230000     0.772        -20.480        894.230          0.003         -0.341         -0.334         52.821 2025-12-07T12:10:22
     259  235000     0.767        -20.470        892.950          0.003         -0.352         -0.345         53.067 2025-12-07T12:11:15
     264  240000     0.762        -20.500        892.730          0.003         -0.362         -0.354         53.076 2025-12-07T12:12:08
     270  245000     0.757        -20.540        887.090          0.003         -0.372         -0.364         52.868 2025-12-07T12:13:01
     276  250000     0.753        -20.520        888.360          0.003         -0.382         -0.375         52.946 2025-12-07T12:13:54
     282  255000     0.748        -20.530        886.480          0.003         -0.393         -0.385         53.291 2025-12-07T12:14:47
     287  260000     0.743        -20.540        880.830          0.003         -0.402         -0.394         53.609 2025-12-07T12:15:41
     292  265000     0.738        -20.480        886.230          0.003         -0.411         -0.403         53.637 2025-12-07T12:16:35
     298  270000     0.733        -20.490        883.900          0.003         -0.421         -0.413         53.545 2025-12-07T12:17:28
     304  275000     0.728        -20.460        885.350          0.004         -0.433         -0.425         53.760 2025-12-07T12:18:22
     309  280000     0.723        -20.440        890.830          0.004         -0.442         -0.434         54.093 2025-12-07T12:19:16
     314  285000     0.718        -20.450        895.660          0.004         -0.451         -0.442         53.647 2025-12-07T12:20:10
     319  290000     0.713        -20.480        897.940          0.004         -0.459         -0.451         54.068 2025-12-07T12:21:04
     325  295000     0.708        -20.510        896.410          0.004         -0.468         -0.460         53.772 2025-12-07T12:21:58
     331  300000     0.703        -20.480        898.110          0.004         -0.477         -0.469         54.228 2025-12-07T12:22:52
     336  305000     0.698        -20.470        898.290          0.004         -0.485         -0.477         53.947 2025-12-07T12:23:46
     341  310000     0.693        -20.410        905.670          0.004         -0.493         -0.484         53.901 2025-12-07T12:24:40
     345  315000     0.688        -20.360        920.470          0.004         -0.498         -0.490         53.833 2025-12-07T12:25:33
     351  320000     0.683        -20.370        921.250          0.004         -0.506         -0.498         54.129 2025-12-07T12:26:28
     356  325000     0.678        -20.330        928.110          0.004         -0.513         -0.504         54.148 2025-12-07T12:27:22
     361  330000     0.673        -20.310        931.390          0.005         -0.519         -0.510         54.472 2025-12-07T12:28:16
     366  335000     0.668        -20.320        933.340          0.005         -0.524         -0.516         54.260 2025-12-07T12:29:10
     371  340000     0.663        -20.290        941.280          0.005         -0.529         -0.520         54.092 2025-12-07T12:30:05
     376  345000     0.658        -20.270        945.310          0.005         -0.534         -0.525         54.435 2025-12-07T12:30:59
     381  350000     0.653        -20.260        950.620          0.005         -0.537         -0.529         54.430 2025-12-07T12:31:53
     386  355000     0.649        -20.260        958.720          0.005         -0.541         -0.532         54.119 2025-12-07T12:32:48
     391  360000     0.644        -20.250        958.490          0.005         -0.543         -0.534         54.420 2025-12-07T12:33:42
     396  365000     0.639        -20.200        972.320          0.005         -0.545         -0.536         54.298 2025-12-07T12:34:36
     401  370000     0.634        -20.170        980.120          0.005         -0.547         -0.538         54.377 2025-12-07T12:35:31
     406  375000     0.629        -20.130        986.300          0.004         -0.548         -0.540         54.487 2025-12-07T12:36:25
     411  380000     0.624        -20.160        985.780          0.004         -0.550         -0.541         54.135 2025-12-07T12:37:19
     415  385000     0.619        -20.090        989.980          0.004         -0.552         -0.543         54.288 2025-12-07T12:38:14
     420  390000     0.614        -20.040        993.630          0.004         -0.554         -0.545         54.308 2025-12-07T12:39:08
     425  395000     0.609        -20.040        996.000          0.004         -0.556         -0.548         54.255 2025-12-07T12:40:02
     430  400000     0.604        -20.020       1010.550          0.004         -0.559         -0.550         54.384 2025-12-07T12:40:56
     434  405000     0.599        -20.000       1016.420          0.004         -0.561         -0.552         54.259 2025-12-07T12:41:51
     438  410000     0.594        -20.010       1025.460          0.004         -0.563         -0.554         54.097 2025-12-07T12:42:45
     442  415000     0.589        -19.990       1032.710          0.004         -0.565         -0.556         54.404 2025-12-07T12:43:39
     447  420000     0.584        -19.990       1040.780          0.004         -0.567         -0.558         54.422 2025-12-07T12:44:34
     450  425000     0.579        -19.940       1051.550          0.004         -0.569         -0.560         54.216 2025-12-07T12:45:28
     454  430000     0.574        -19.910       1066.550          0.004         -0.570         -0.561         54.141 2025-12-07T12:46:22
     458  435000     0.569        -19.870       1083.480          0.004         -0.572         -0.563         54.256 2025-12-07T12:47:16
     461  440000     0.564        -19.810       1095.260          0.004         -0.573         -0.564         54.277 2025-12-07T12:48:11
     465  445000     0.559        -19.730       1110.950          0.004         -0.575         -0.566         54.035 2025-12-07T12:49:05
     469  450000     0.554        -19.650       1127.070          0.004         -0.578         -0.568         54.281 2025-12-07T12:49:59
     473  455000     0.550        -19.680       1129.650          0.004         -0.580         -0.571         54.465 2025-12-07T12:50:53
     477  460000     0.545        -19.670       1138.620          0.004         -0.583         -0.574         53.937 2025-12-07T12:51:47
     481  465000     0.540        -19.600       1149.700          0.004         -0.586         -0.577         54.154 2025-12-07T12:52:41
     485  470000     0.535        -19.550       1155.110          0.004         -0.589         -0.579         54.389 2025-12-07T12:53:36
     489  475000     0.530        -19.450       1171.240          0.004         -0.592         -0.582         54.229 2025-12-07T12:54:30
     492  480000     0.525        -19.420       1187.530          0.004         -0.595         -0.585         54.480 2025-12-07T12:55:25
     496  485000     0.520        -19.340       1196.780          0.004         -0.598         -0.588         54.199 2025-12-07T12:56:19
     499  490000     0.515        -19.290       1213.850          0.004         -0.600         -0.590         54.413 2025-12-07T12:57:13
     502  495000     0.510        -19.230       1227.080          0.004         -0.602         -0.592         54.193 2025-12-07T12:58:07
     506  500000     0.505        -19.160       1248.990          0.004         -0.603         -0.593         54.508 2025-12-07T12:59:02
     509  505000     0.500        -19.130       1268.340          0.004         -0.604         -0.594         54.120 2025-12-07T12:59:56
     512  510000     0.495        -19.040       1286.100          0.004         -0.605         -0.595         54.180 2025-12-07T13:00:50
     514  515000     0.490        -19.000       1300.860          0.004         -0.605         -0.595         54.654 2025-12-07T13:01:45
     518  520000     0.485        -18.930       1324.190          0.004         -0.606         -0.595         55.982 2025-12-07T13:02:41
     521  525000     0.480        -18.820       1343.510          0.004         -0.605         -0.594         57.191 2025-12-07T13:03:38
     523  530000     0.475        -18.770       1362.640          0.004         -0.604         -0.593         54.742 2025-12-07T13:04:33
     527  535000     0.470        -18.740       1381.810          0.004         -0.603         -0.592         54.649 2025-12-07T13:05:27
     529  540000     0.465        -18.670       1400.380          0.004         -0.603         -0.591         54.675 2025-12-07T13:06:22
     532  545000     0.460        -18.610       1413.780          0.004         -0.602         -0.590         54.581 2025-12-07T13:07:17
     535  550000     0.456        -18.600       1430.840          0.004         -0.600         -0.588         54.576 2025-12-07T13:08:11
     538  555000     0.451        -18.580       1445.630          0.004         -0.598         -0.586         54.643 2025-12-07T13:09:06
     541  560000     0.446        -18.510       1460.940          0.004         -0.596         -0.584         54.812 2025-12-07T13:10:01
     544  565000     0.441        -18.500       1474.270          0.004         -0.594         -0.582         54.556 2025-12-07T13:10:55
     547  570000     0.436        -18.470       1487.670          0.004         -0.592         -0.579         54.566 2025-12-07T13:11:50
     550  575000     0.431        -18.470       1499.690          0.004         -0.588         -0.576         54.454 2025-12-07T13:12:44
     553  580000     0.426        -18.410       1513.610          0.004         -0.585         -0.573         54.375 2025-12-07T13:13:39
     556  585000     0.421        -18.410       1518.050          0.004         -0.582         -0.570         54.434 2025-12-07T13:14:33
     560  590000     0.416        -18.420       1522.380          0.004         -0.578         -0.566         54.802 2025-12-07T13:15:28
     562  595000     0.411        -18.450       1526.270          0.004         -0.577         -0.564         54.746 2025-12-07T13:16:23
     565  600000     0.406        -18.370       1543.300          0.004         -0.574         -0.561         54.630 2025-12-07T13:17:17
     568  605000     0.401        -18.290       1557.990          0.004         -0.571         -0.558         54.751 2025-12-07T13:18:12
     571  610000     0.396        -18.290       1569.820          0.004         -0.567         -0.554         54.475 2025-12-07T13:19:06
     574  615000     0.391        -18.230       1586.730          0.004         -0.563         -0.550         54.159 2025-12-07T13:20:01
     577  620000     0.386        -18.180       1606.150          0.004         -0.558         -0.545         54.556 2025-12-07T13:20:55
     579  625000     0.381        -18.140       1625.120          0.004         -0.555         -0.542         54.713 2025-12-07T13:21:50
     582  630000     0.376        -18.130       1640.510          0.004         -0.551         -0.537         54.639 2025-12-07T13:22:44
     585  635000     0.371        -18.030       1662.620          0.004         -0.545         -0.532         54.345 2025-12-07T13:23:39
     587  640000     0.366        -18.020       1674.690          0.004         -0.542         -0.529         54.327 2025-12-07T13:24:33
     590  645000     0.361        -18.020       1678.710          0.004         -0.537         -0.523         54.594 2025-12-07T13:25:28
     593  650000     0.356        -17.980       1692.680          0.004         -0.531         -0.518         54.545 2025-12-07T13:26:22
     596  655000     0.352        -17.990       1699.370          0.004         -0.526         -0.513         54.806 2025-12-07T13:27:17
     599  660000     0.347        -17.970       1704.630          0.004         -0.521         -0.507         54.740 2025-12-07T13:28:12
     602  665000     0.342        -17.960       1709.510          0.004         -0.516         -0.502         54.720 2025-12-07T13:29:07
     604  670000     0.337        -17.910       1718.090          0.004         -0.512         -0.499         54.592 2025-12-07T13:30:01
     607  675000     0.332        -17.890       1722.880          0.004         -0.508         -0.494         54.611 2025-12-07T13:30:56
     610  680000     0.327        -17.890       1726.210          0.004         -0.504         -0.490         54.732 2025-12-07T13:31:51
     613  685000     0.322        -17.910       1734.390          0.004         -0.500         -0.487         54.549 2025-12-07T13:32:45
     615  690000     0.317        -17.930       1734.730          0.004         -0.498         -0.484         54.253 2025-12-07T13:33:39
     618  695000     0.312        -17.870       1745.110          0.004         -0.495         -0.481         54.441 2025-12-07T13:34:34
     620  700000     0.307        -17.920       1751.640          0.004         -0.493         -0.480         54.585 2025-12-07T13:35:28
     623  705000     0.302        -17.910       1752.280          0.004         -0.491         -0.477         54.727 2025-12-07T13:36:23
     626  710000     0.297        -17.890       1756.170          0.004         -0.488         -0.475         54.046 2025-12-07T13:37:17
     629  715000     0.292        -17.870       1757.700          0.004         -0.485         -0.472         53.561 2025-12-07T13:38:11
     631  720000     0.287        -17.810       1761.810          0.004         -0.484         -0.471         55.513 2025-12-07T13:39:06
     634  725000     0.282        -17.790       1768.020          0.005         -0.482         -0.468         52.539 2025-12-07T13:39:59
     637  730000     0.277        -17.670       1783.410          0.005         -0.480         -0.467         52.141 2025-12-07T13:40:51
     639  735000     0.272        -17.620       1789.460          0.005         -0.478         -0.465         52.228 2025-12-07T13:41:43
     641  740000     0.267        -17.560       1800.460          0.005         -0.477         -0.464         53.612 2025-12-07T13:42:37
     643  745000     0.262        -17.530       1805.220          0.005         -0.475         -0.463         52.830 2025-12-07T13:43:30
     646  750000     0.258        -17.450       1817.780          0.005         -0.473         -0.460         52.741 2025-12-07T13:44:22
     649  755000     0.253        -17.390       1824.010          0.005         -0.472         -0.459         52.679 2025-12-07T13:45:15
     651  760000     0.248        -17.350       1831.590          0.005         -0.471         -0.458         52.666 2025-12-07T13:46:08
     653  765000     0.243        -17.340       1839.440          0.005         -0.471         -0.458         53.126 2025-12-07T13:47:01
     656  770000     0.238        -17.280       1858.800          0.005         -0.469         -0.456         53.497 2025-12-07T13:47:54
     658  775000     0.233        -17.240       1866.740          0.005         -0.467         -0.455         53.403 2025-12-07T13:48:48
     660  780000     0.228        -17.160       1879.490          0.005         -0.466         -0.453         52.341 2025-12-07T13:49:40
     663  785000     0.223        -17.090       1887.180          0.005         -0.463         -0.451         54.897 2025-12-07T13:50:35
     665  790000     0.218        -17.130       1897.320          0.005         -0.461         -0.449         52.513 2025-12-07T13:51:27
     667  795000     0.213        -17.140       1902.380          0.005         -0.460         -0.447         52.230 2025-12-07T13:52:20
     670  800000     0.208        -17.090       1914.770          0.005         -0.458         -0.445         52.467 2025-12-07T13:53:12
     672  805000     0.203        -17.000       1931.180          0.005         -0.457         -0.444         52.686 2025-12-07T13:54:05
     675  810000     0.198        -16.950       1941.050          0.005         -0.456         -0.443         52.112 2025-12-07T13:54:57
     677  815000     0.193        -16.820       1951.920          0.005         -0.454         -0.442         52.178 2025-12-07T13:55:49
     679  820000     0.188        -16.830       1954.510          0.005         -0.453         -0.441         52.215 2025-12-07T13:56:41
     680  825000     0.183        -16.770       1963.250          0.005         -0.453         -0.440         52.150 2025-12-07T13:57:33
     683  830000     0.178        -16.660       1983.430          0.005         -0.451         -0.439         53.605 2025-12-07T13:58:27
     685  835000     0.173        -16.720       1987.220          0.005         -0.451         -0.438         54.829 2025-12-07T13:59:22
     687  840000     0.168        -16.670       1998.310          0.005         -0.450         -0.437         54.643 2025-12-07T14:00:17
     690  845000     0.163        -16.600       2007.040          0.005         -0.449         -0.436         54.547 2025-12-07T14:01:11
     692  850000     0.159        -16.600       2015.520          0.005         -0.448         -0.436         54.573 2025-12-07T14:02:06
     695  855000     0.154        -16.570       2017.840          0.005         -0.448         -0.435         54.584 2025-12-07T14:03:00
     697  860000     0.149        -16.580       2019.740          0.005         -0.447         -0.435         54.663 2025-12-07T14:03:55
     699  865000     0.144        -16.530       2035.180          0.005         -0.447         -0.434         54.513 2025-12-07T14:04:49
     701  870000     0.139        -16.470       2051.310          0.005         -0.446         -0.434         54.368 2025-12-07T14:05:44
     703  875000     0.134        -16.420       2063.800          0.005         -0.445         -0.433         55.246 2025-12-07T14:06:39
     705  880000     0.129        -16.340       2086.260          0.005         -0.444         -0.432         54.545 2025-12-07T14:07:34
     707  885000     0.124        -16.330       2095.060          0.005         -0.442         -0.430         54.632 2025-12-07T14:08:28
     709  890000     0.119        -16.250       2111.240          0.005         -0.441         -0.429         54.258 2025-12-07T14:09:22
     711  895000     0.114        -16.200       2123.860          0.005         -0.439         -0.427         53.316 2025-12-07T14:10:16
     714  900000     0.109        -16.270       2122.270          0.005         -0.436         -0.424         52.210 2025-12-07T14:11:08
     717  905000     0.104        -16.290       2123.430          0.005         -0.433         -0.421         53.888 2025-12-07T14:12:02
     719  910000     0.099        -16.220       2132.840          0.005         -0.431         -0.419         54.305 2025-12-07T14:12:56
     721  915000     0.094        -16.100       2143.410          0.005         -0.428         -0.416         53.076 2025-12-07T14:13:49
     723  920000     0.089        -16.040       2152.280          0.005         -0.426         -0.414         53.015 2025-12-07T14:14:42
     725  925000     0.084        -15.930       2170.000          0.005         -0.424         -0.412         53.235 2025-12-07T14:15:35
     727  930000     0.079        -15.830       2188.650          0.005         -0.422         -0.410         53.553 2025-12-07T14:16:29
     729  935000     0.074        -15.830       2195.940          0.005         -0.419         -0.408         52.409 2025-12-07T14:17:21
     731  940000     0.069        -15.850       2207.550          0.004         -0.417         -0.405         52.569 2025-12-07T14:18:14
     733  945000     0.064        -15.690       2228.310          0.004         -0.415         -0.403         54.017 2025-12-07T14:19:08
     735  950000     0.060        -15.720       2234.210          0.004         -0.413         -0.401         52.396 2025-12-07T14:20:00
     737  955000     0.055        -15.640       2243.950          0.004         -0.410         -0.399         52.542 2025-12-07T14:20:53
     739  960000     0.050        -15.610       2245.720          0.004         -0.408         -0.396         51.758 2025-12-07T14:21:45
     741  965000     0.045        -15.620       2254.780          0.004         -0.406         -0.394         52.143 2025-12-07T14:22:37
     742  970000     0.040        -15.630       2255.480          0.004         -0.405         -0.393         52.704 2025-12-07T14:23:30
     744  975000     0.035        -15.410       2282.330          0.004         -0.402         -0.391         54.251 2025-12-07T14:24:24
