         Reward           Loss         Qvalue     Mean_Max_Q         Length
        -20.000          0.000          0.000          0.000            947
        -18.000          0.015         -0.008          0.034           1181
        -20.000          0.000          0.000          0.000            930
        -21.000          0.001         -0.008          0.035            878
        -20.000          0.000          0.000          0.000            997
        -21.000          0.000          0.000          0.000            793
        -20.000          0.000          0.000          0.000           1008
        -21.000          0.000          0.000          0.000            820
        -19.000          0.016          0.002          0.036           1126
        -20.000          0.030         -0.001          0.036            920
        -19.000          0.013          0.010          0.028           1025
        -21.000          0.010          0.013          0.023            883
        -20.000          0.010          0.015          0.023            888
        -20.000          0.013          0.010          0.022            870
        -20.000          0.012          0.010          0.021            887
        -21.000          0.011          0.011          0.019            825
        -20.000          0.010          0.015          0.023            961
        -21.000          0.011          0.011          0.020            901
        -20.000          0.010          0.012          0.023            922
        -21.000          0.011          0.013          0.026            823
        -21.000          0.012          0.012          0.022            822
        -21.000          0.011          0.011          0.018            946
        -21.000          0.012         -0.001          0.005            944
        -21.000          0.012         -0.003          0.003           1030
        -21.000          0.010         -0.003          0.005            792
        -21.000          0.012         -0.002          0.005            852
        -21.000          0.011         -0.002          0.003            884
        -18.000          0.012         -0.003          0.004           1120
        -21.000          0.010         -0.002          0.005            792
        -19.000          0.012         -0.002          0.004           1056
        -21.000          0.011         -0.002          0.003            781
        -19.000          0.012         -0.002          0.001           1026
        -20.000          0.012         -0.007         -0.003            964
        -21.000          0.011         -0.019         -0.014            992
        -21.000          0.010         -0.022         -0.017            866
        -20.000          0.012         -0.024         -0.017           1097
        -20.000          0.013         -0.025         -0.019            868
        -21.000          0.012         -0.023         -0.017            823
        -19.000          0.011         -0.022         -0.018            930
        -21.000          0.014         -0.025         -0.020            870
        -19.000          0.011         -0.024         -0.020           1097
        -21.000          0.012         -0.022         -0.017            782
        -19.000          0.011         -0.023         -0.013            956
        -21.000          0.010         -0.025         -0.018            940
        -21.000          0.011         -0.030         -0.026            882
        -21.000          0.012         -0.033         -0.028            929
        -21.000          0.012         -0.036         -0.033            851
        -21.000          0.012         -0.035         -0.030            870
        -21.000          0.011         -0.035         -0.031            999
        -21.000          0.011         -0.034         -0.029            948
        -21.000          0.013         -0.034         -0.027            763
        -19.000          0.014         -0.038         -0.032           1054
        -20.000          0.012         -0.037         -0.031            919
        -19.000          0.012         -0.036         -0.032           1135
        -19.000          0.011         -0.049         -0.044           1147
        -21.000          0.011         -0.050         -0.041            910
        -21.000          0.012         -0.053         -0.045            883
        -21.000          0.012         -0.053         -0.044            762
        -20.000          0.010         -0.051         -0.041           1054
        -18.000          0.010         -0.053         -0.039           1043
        -21.000          0.009         -0.051         -0.037            850
        -20.000          0.008         -0.052         -0.039            988
        -20.000          0.007         -0.053         -0.040            869
        -20.000          0.007         -0.053         -0.039            901
        -21.000          0.007         -0.059         -0.045            762
        -21.000          0.007         -0.068         -0.051            818
        -21.000          0.005         -0.062         -0.049            974
        -20.000          0.005         -0.062         -0.049           1038
        -21.000          0.005         -0.064         -0.052            790
        -21.000          0.005         -0.060         -0.047            763
        -21.000          0.005         -0.058         -0.048            949
        -21.000          0.004         -0.061         -0.050            973
        -21.000          0.004         -0.064         -0.051            824
        -20.000          0.003         -0.061         -0.051            959
        -20.000          0.004         -0.062         -0.052            959
        -20.000          0.004         -0.068         -0.059            945
        -20.000          0.007         -0.079         -0.068            840
        -21.000          0.005         -0.076         -0.065            850
        -21.000          0.005         -0.076         -0.065           1043
        -20.000          0.005         -0.075         -0.065            899
        -20.000          0.006         -0.078         -0.069            928
        -21.000          0.005         -0.075         -0.065            841
        -20.000          0.005         -0.074         -0.065            903
        -21.000          0.005         -0.077         -0.068            871
        -20.000          0.004         -0.080         -0.071            841
        -21.000          0.006         -0.080         -0.071            782
        -20.000          0.005         -0.078         -0.070            871
        -21.000          0.006         -0.091         -0.083            883
        -21.000          0.006         -0.093         -0.085            886
        -21.000          0.005         -0.092         -0.084            809
        -19.000          0.006         -0.094         -0.086           1040
        -21.000          0.005         -0.095         -0.088            866
        -19.000          0.006         -0.093         -0.086            984
        -20.000          0.005         -0.091         -0.084            842
        -21.000          0.006         -0.091         -0.083            973
        -21.000          0.005         -0.090         -0.083            885
        -21.000          0.004         -0.085         -0.077            822
        -21.000          0.005         -0.093         -0.086            762
        -20.000          0.007         -0.097         -0.089            926
        -21.000          0.006         -0.098         -0.090            781
        -20.000          0.007         -0.097         -0.090            900
        -21.000          0.007         -0.096         -0.086            792
        -21.000          0.005         -0.103         -0.095            853
        -20.000          0.006         -0.101         -0.094            899
        -21.000          0.006         -0.097         -0.091            792
        -21.000          0.004         -0.095         -0.088            914
        -21.000          0.004         -0.098         -0.093            763
