 Episode    Step   Epsilon     MeanReward     MeanLength       MeanLoss     MeanQValue      TimeDelta                Time
       5    5000     0.995        -19.800        986.600          0.003         -0.003          0.014          9.656 2025-12-06T23:35:31
      10   10000     0.990        -20.000        960.000          0.006         -0.002          0.014          9.883 2025-12-06T23:35:41
      16   15000     0.985        -20.062        936.125          0.008          0.003          0.017         48.071 2025-12-06T23:36:29
      21   20000     0.980        -20.190        924.143          0.009          0.005          0.019         49.104 2025-12-06T23:37:18
      27   25000     0.975        -20.370        920.556          0.009          0.004          0.016         49.787 2025-12-06T23:38:08
      32   30000     0.970        -20.250        925.938          0.010          0.003          0.014         49.455 2025-12-06T23:38:57
      37   35000     0.965        -20.270        930.189          0.010          0.000          0.010         49.726 2025-12-06T23:39:47
      43   40000     0.960        -20.233        927.326          0.010         -0.003          0.006         50.194 2025-12-06T23:40:37
      48   45000     0.955        -20.312        923.896          0.010         -0.006          0.003         51.867 2025-12-06T23:41:29
      53   50000     0.951        -20.321        925.094          0.010         -0.009         -0.000         51.589 2025-12-06T23:42:21
      59   55000     0.946        -20.305        930.864          0.011         -0.013         -0.004         53.654 2025-12-06T23:43:14
      64   60000     0.941        -20.266        930.812          0.010         -0.016         -0.007         50.703 2025-12-06T23:44:05
      70   65000     0.936        -20.314        924.529          0.010         -0.020         -0.011         50.152 2025-12-06T23:44:55
      75   70000     0.931        -20.333        925.080          0.010         -0.023         -0.013         49.932 2025-12-06T23:45:45
      81   75000     0.926        -20.333        924.519          0.009         -0.027         -0.017         50.084 2025-12-06T23:46:35
      87   80000     0.921        -20.345        919.483          0.009         -0.030         -0.021         49.981 2025-12-06T23:47:25
      92   85000     0.916        -20.359        918.250          0.009         -0.034         -0.024         50.141 2025-12-06T23:48:15
      98   90000     0.911        -20.367        915.786          0.009         -0.037         -0.028         50.171 2025-12-06T23:49:05
     104   95000     0.906        -20.400        909.620          0.009         -0.042         -0.033         50.430 2025-12-06T23:49:56
     109  100000     0.901        -20.440        904.990          0.009         -0.047         -0.038         50.219 2025-12-06T23:50:46
     115  105000     0.896        -20.480        902.890          0.008         -0.055         -0.047         50.444 2025-12-06T23:51:37
     120  110000     0.891        -20.480        903.520          0.008         -0.061         -0.053         50.250 2025-12-06T23:52:27
     126  115000     0.886        -20.430        904.890          0.007         -0.069         -0.061         50.550 2025-12-06T23:53:17
     132  120000     0.881        -20.480        899.660          0.007         -0.077         -0.069         50.921 2025-12-06T23:54:08
     137  125000     0.876        -20.460        900.170          0.007         -0.084         -0.076         49.849 2025-12-06T23:54:58
     143  130000     0.871        -20.470        899.330          0.006         -0.092         -0.084         49.956 2025-12-06T23:55:48
     148  135000     0.866        -20.460        898.410          0.006         -0.100         -0.091         50.089 2025-12-06T23:56:38
     154  140000     0.861        -20.500        890.380          0.006         -0.108         -0.100         50.307 2025-12-06T23:57:28
     160  145000     0.856        -20.500        889.470          0.005         -0.116         -0.108         49.944 2025-12-06T23:58:18
     165  150000     0.852        -20.510        891.520          0.005         -0.123         -0.115         50.203 2025-12-06T23:59:09
     171  155000     0.847        -20.500        890.970          0.005         -0.131         -0.123         49.994 2025-12-06T23:59:59
     176  160000     0.842        -20.510        888.850          0.005         -0.137         -0.130         50.026 2025-12-07T00:00:49
     182  165000     0.837        -20.510        888.870          0.005         -0.144         -0.137         50.074 2025-12-07T00:01:39
     187  170000     0.832        -20.510        891.100          0.005         -0.150         -0.143         49.984 2025-12-07T00:02:29
     193  175000     0.827        -20.510        894.670          0.005         -0.158         -0.151         49.893 2025-12-07T00:03:19
     198  180000     0.822        -20.500        894.820          0.004         -0.164         -0.158         49.959 2025-12-07T00:04:09
     204  185000     0.817        -20.470        895.960          0.004         -0.173         -0.166         50.088 2025-12-07T00:04:59
     209  190000     0.812        -20.450        901.910          0.004         -0.180         -0.174         50.006 2025-12-07T00:05:49
     215  195000     0.807        -20.440        902.800          0.004         -0.189         -0.183         50.026 2025-12-07T00:06:39
     221  200000     0.802        -20.460        898.460          0.004         -0.198         -0.192         50.119 2025-12-07T00:07:29
     226  205000     0.797        -20.440        901.400          0.004         -0.205         -0.198         50.046 2025-12-07T00:08:19
     231  210000     0.792        -20.440        904.290          0.004         -0.212         -0.205         50.105 2025-12-07T00:09:09
     237  215000     0.787        -20.420        905.590          0.004         -0.219         -0.212         50.200 2025-12-07T00:09:59
     242  220000     0.782        -20.410        910.060          0.004         -0.225         -0.219         50.152 2025-12-07T00:10:49
