         Reward           Loss         Qvalue     Mean_Max_Q         Length
        -21.000          0.000          0.000          0.000            764
        -21.000          0.000          0.000          0.000            764
        -21.000          0.000          0.000          0.000            852
        -20.000          0.000          0.000          0.000            836
        -21.000          0.000          0.000          0.000            781
        -19.000          0.000          0.000          0.000           1052
        -21.000          0.000          0.000          0.000            822
        -20.000          0.000          0.000          0.000            959
        -21.000          0.000          0.000          0.000            762
        -21.000          0.000          0.000          0.000            798
        -21.000          0.000          0.000          0.000            826
        -21.000          0.028         -0.018          0.007            842
        -19.000          0.036         -0.038         -0.015            939
        -19.000          0.034         -0.044         -0.027           1055
        -19.000          0.036         -0.058         -0.036           1041
        -19.000          0.034         -0.043         -0.024           1069
        -20.000          0.034         -0.073         -0.056            928
        -20.000          0.032         -0.032         -0.012            960
        -21.000          0.032         -0.036         -0.013            853
        -20.000          0.032         -0.031         -0.016           1124
        -21.000          0.035         -0.060         -0.038            883
        -20.000          0.033         -0.050         -0.034           1034
        -20.000          0.032         -0.125         -0.104            974
        -19.000          0.032         -0.132         -0.116            914
        -21.000          0.034         -0.121         -0.107            780
        -21.000          0.030         -0.149         -0.131            851
        -17.000          0.022         -0.141         -0.120           1156
        -21.000          0.018         -0.144         -0.124            868
        -21.000          0.017         -0.147         -0.130           1032
        -21.000          0.016         -0.152         -0.132            882
        -20.000          0.015         -0.139         -0.124            925
        -20.000          0.014         -0.155         -0.140           1012
        -18.000          0.019         -0.159         -0.142           1094
        -20.000          0.025         -0.205         -0.181            926
        -21.000          0.023         -0.200         -0.176            882
        -20.000          0.023         -0.203         -0.180            990
        -18.000          0.018         -0.197         -0.177           1253
        -21.000          0.019         -0.202         -0.178            913
        -21.000          0.016         -0.201         -0.181           1031
        -21.000          0.015         -0.204         -0.184            897
        -20.000          0.014         -0.206         -0.187            919
        -21.000          0.015         -0.198         -0.177            883
        -20.000          0.016         -0.204         -0.188           1022
        -20.000          0.021         -0.251         -0.231           1067
        -20.000          0.018         -0.243         -0.224            926
        -21.000          0.015         -0.251         -0.228            851
        -20.000          0.015         -0.250         -0.232           1081
        -21.000          0.014         -0.249         -0.230            963
        -21.000          0.013         -0.256         -0.238            944
        -21.000          0.014         -0.256         -0.236            842
        -20.000          0.014         -0.255         -0.237           1097
        -21.000          0.012         -0.244         -0.229            810
        -20.000          0.012         -0.255         -0.237           1072
        -21.000          0.016         -0.288         -0.268            791
        -21.000          0.014         -0.306         -0.285            809
        -19.000          0.014         -0.312         -0.294           1146
        -21.000          0.012         -0.298         -0.280            791
        -20.000          0.012         -0.301         -0.281           1007
        -19.000          0.010         -0.300         -0.284           1162
        -20.000          0.011         -0.303         -0.286            979
        -19.000          0.011         -0.303         -0.288            939
        -21.000          0.011         -0.305         -0.287            791
        -21.000          0.011         -0.302         -0.287            823
        -21.000          0.011         -0.317         -0.300            764
        -20.000          0.014         -0.341         -0.324            860
        -20.000          0.014         -0.360         -0.342            901
        -21.000          0.013         -0.367         -0.347            870
        -20.000          0.012         -0.363         -0.347            922
        -21.000          0.011         -0.367         -0.349            810
        -19.000          0.010         -0.370         -0.354           1138
        -20.000          0.011         -0.366         -0.351            895
        -20.000          0.010         -0.364         -0.348            929
        -18.000          0.010         -0.359         -0.345           1089
        -18.000          0.010         -0.360         -0.344           1132
        -20.000          0.012         -0.370         -0.354            864
        -21.000          0.012         -0.412         -0.394            853
        -21.000          0.012         -0.403         -0.387            836
        -20.000          0.011         -0.405         -0.389           1020
        -20.000          0.010         -0.414         -0.398            976
        -19.000          0.010         -0.416         -0.399           1043
        -21.000          0.009         -0.413         -0.396            763
        -20.000          0.009         -0.414         -0.398            920
        -19.000          0.010         -0.413         -0.396           1118
        -21.000          0.009         -0.412         -0.396            872
        -20.000          0.009         -0.412         -0.397            998
        -21.000          0.011         -0.430         -0.414            809
        -20.000          0.013         -0.457         -0.437            962
        -21.000          0.012         -0.450         -0.430            854
        -21.000          0.011         -0.453         -0.435            781
        -20.000          0.011         -0.460         -0.443            902
        -21.000          0.010         -0.458         -0.441           1038
        -21.000          0.010         -0.467         -0.448            882
        -20.000          0.010         -0.460         -0.443            987
        -21.000          0.010         -0.457         -0.440            763
        -21.000          0.009         -0.448         -0.432            811
        -18.000          0.009         -0.460         -0.444           1045
        -19.000          0.012         -0.469         -0.451            962
        -21.000          0.012         -0.504         -0.484            947
        -21.000          0.012         -0.499         -0.480            764
        -19.000          0.011         -0.500         -0.480            965
        -20.000          0.011         -0.502         -0.485            977
        -20.000          0.011         -0.500         -0.484           1011
        -19.000          0.010         -0.499         -0.481           1008
        -19.000          0.010         -0.505         -0.487           1034
        -21.000          0.010         -0.500         -0.483            852
        -21.000          0.011         -0.494         -0.477            964
        -21.000          0.010         -0.504         -0.486            884
        -21.000          0.012         -0.538         -0.520            852
        -20.000          0.012         -0.554         -0.535            949
        -20.000          0.013         -0.547         -0.530            919
        -21.000          0.012         -0.553         -0.535            913
        -18.000          0.012         -0.545         -0.528           1209
        -19.000          0.011         -0.548         -0.530            966
        -20.000          0.011         -0.550         -0.531            919
        -19.000          0.012         -0.551         -0.533            977
        -20.000          0.011         -0.547         -0.530           1026
        -21.000          0.011         -0.546         -0.528            868
        -21.000          0.012         -0.551         -0.533            865
        -21.000          0.013         -0.557         -0.538           1004
        -21.000          0.013         -0.556         -0.537            825
        -21.000          0.013         -0.565         -0.542            903
        -18.000          0.012         -0.561         -0.542           1064
        -21.000          0.012         -0.563         -0.546            971
        -20.000          0.011         -0.558         -0.539            840
        -21.000          0.011         -0.554         -0.535            947
        -18.000          0.011         -0.554         -0.537           1120
        -20.000          0.011         -0.565         -0.549            996
        -20.000          0.011         -0.558         -0.538           1015
        -20.000          0.012         -0.601         -0.581           1073
        -20.000          0.011         -0.603         -0.583            991
        -20.000          0.011         -0.599         -0.577            916
        -19.000          0.011         -0.601         -0.578            936
        -20.000          0.011         -0.601         -0.577           1112
        -21.000          0.010         -0.597         -0.579            881
        -21.000          0.011         -0.601         -0.579            822
        -21.000          0.011         -0.609         -0.589            913
        -21.000          0.011         -0.600         -0.581            879
        -21.000          0.010         -0.605         -0.585            944
        -19.000          0.010         -0.607         -0.589            939
        -20.000          0.010         -0.612         -0.595            929
        -21.000          0.010         -0.616         -0.601            970
        -21.000          0.011         -0.611         -0.595            820
        -20.000          0.010         -0.616         -0.599            936
        -21.000          0.010         -0.615         -0.598            884
        -21.000          0.009         -0.610         -0.594            911
        -20.000          0.010         -0.616         -0.599            901
        -21.000          0.009         -0.616         -0.600            879
        -20.000          0.009         -0.609         -0.591            903
        -20.000          0.009         -0.621         -0.601            836
        -21.000          0.009         -0.622         -0.602            939
        -20.000          0.010         -0.634         -0.615            896
        -20.000          0.010         -0.640         -0.622           1097
        -20.000          0.010         -0.637         -0.622           1029
        -20.000          0.010         -0.644         -0.627           1006
        -20.000          0.009         -0.642         -0.625           1007
        -19.000          0.009         -0.646         -0.629           1036
        -20.000          0.009         -0.640         -0.624           1178
        -20.000          0.009         -0.648         -0.631            842
        -18.000          0.009         -0.640         -0.623           1010
        -20.000          0.009         -0.652         -0.635            976
        -17.000          0.009         -0.670         -0.651           1154
        -20.000          0.009         -0.666         -0.647            956
        -19.000          0.009         -0.670         -0.653           1050
        -19.000          0.008         -0.669         -0.651           1123
        -19.000          0.008         -0.664         -0.648            933
        -19.000          0.009         -0.663         -0.646           1088
        -20.000          0.008         -0.665         -0.648            963
